Year,GEO,After-tax income#Economic families#Median income#2018 constant dollars#units#11100237_StatsCanada
1984,"Ottawa-Gatineau, Ontario/Quebec",72200
1984,Prairie provinces,63000
1984,Prince Edward Island,54000
1984,Quebec,58100
1984,"Québec, Quebec",60000
1984,Saskatchewan,57600
1984,"Toronto, Ontario",69200
1984,"Vancouver, British Columbia",70200
1984,"Winnipeg, Manitoba",65900
1985,Alberta,67700
1985,Atlantic provinces,52900
1985,British Columbia,63700
1985,"Calgary, Alberta",74100
1985,Canada,62700
1985,"Edmonton, Alberta",67900
1985,Manitoba,59500
1985,"Montréal, Quebec",62600
1985,New Brunswick,53000
1985,Newfoundland and Labrador,48200
1985,Nova Scotia,55600
1985,Ontario,68200
1985,"Ottawa-Gatineau, Ontario/Quebec",73300
1985,Prairie provinces,63300
1985,Prince Edward Island,52900
1985,Quebec,58100
1985,"Québec, Quebec",58700
1985,Saskatchewan,59200
1985,"Toronto, Ontario",72900
1985,"Vancouver, British Columbia",70700
1985,"Winnipeg, Manitoba",61800
1986,Alberta,67100
1986,Atlantic provinces,52200
1986,British Columbia,63400
1986,"Calgary, Alberta",74300
1986,Canada,63000
1986,"Edmonton, Alberta",69500
1986,Manitoba,59000
1986,"Montréal, Quebec",61500
1986,New Brunswick,53500
1986,Newfoundland and Labrador,47800
1986,Nova Scotia,53900
1986,Ontario,69600
1986,"Ottawa-Gatineau, Ontario/Quebec",81700
1986,Prairie provinces,62500
1986,Prince Edward Island,52100
1986,Quebec,57100
1986,"Québec, Quebec",61600
1986,Saskatchewan,55800
1986,"Toronto, Ontario",74000
1986,"Vancouver, British Columbia",67700
1986,"Winnipeg, Manitoba",62700
1987,Alberta,64500
1987,Atlantic provinces,54200
1987,British Columbia,62200
1987,"Calgary, Alberta",68700
1987,Canada,62800
1987,"Edmonton, Alberta",67400
1987,Manitoba,59000
1987,"Montréal, Quebec",60300
1987,New Brunswick,53000
1987,Newfoundland and Labrador,50700
1987,Nova Scotia,57200
1987,Ontario,70000
1987,"Ottawa-Gatineau, Ontario/Quebec",71700
1987,Prairie provinces,61400
1987,Prince Edward Island,54600
1987,Quebec,56800
1987,"Québec, Quebec",60000
1987,Saskatchewan,57500
1987,"Toronto, Ontario",76900
1987,"Vancouver, British Columbia",68300
1987,"Winnipeg, Manitoba",62500
1988,Alberta,66300
1988,Atlantic provinces,55000
1988,British Columbia,66300
1988,"Calgary, Alberta",71400
1988,Canada,64600
1988,"Edmonton, Alberta",68600
1988,Manitoba,58500
1988,"Montréal, Quebec",59300
1988,New Brunswick,53600
1988,Newfoundland and Labrador,53400
1988,Nova Scotia,57800
1988,Ontario,73200
1988,"Ottawa-Gatineau, Ontario/Quebec",80800
1988,Prairie provinces,62500
1988,Prince Edward Island,52300
1988,Quebec,57500
1988,"Québec, Quebec",58100
1988,Saskatchewan,56200
1988,"Toronto, Ontario",79900
1988,"Vancouver, British Columbia",70800
1988,"Winnipeg, Manitoba",62100
1989,Alberta,66600
1989,Atlantic provinces,55600
1989,British Columbia,67000
1989,"Calgary, Alberta",69300
1989,Canada,65600
1989,"Edmonton, Alberta",70100
1989,Manitoba,61900
1989,"Montréal, Quebec",63300
1989,New Brunswick,55400
1989,Newfoundland and Labrador,54800
1989,Nova Scotia,56400
1989,Ontario,73300
1989,"Ottawa-Gatineau, Ontario/Quebec",78300
1989,Prairie provinces,63800
1989,Prince Edward Island,55700
1989,Quebec,59400
1989,"Québec, Quebec",60800
1989,Saskatchewan,56900
1989,"Toronto, Ontario",82500
1989,"Vancouver, British Columbia",71100
1989,"Winnipeg, Manitoba",65800
1990,Alberta,66000
1990,Atlantic provinces,54400
1990,British Columbia,65300
1990,"Calgary, Alberta",69300
1990,Canada,63100
1990,"Edmonton, Alberta",68300
1990,Manitoba,59700
1990,"Montréal, Quebec",59800
1990,New Brunswick,54200
1990,Newfoundland and Labrador,51300
1990,Nova Scotia,56400
1990,Ontario,70400
1990,"Ottawa-Gatineau, Ontario/Quebec",78300
1990,Prairie provinces,61800
1990,Prince Edward Island,52900
1990,Quebec,56700
1990,"Québec, Quebec",55900
1990,Saskatchewan,54500
1990,"Toronto, Ontario",75400
1990,"Vancouver, British Columbia",71200
1990,"Winnipeg, Manitoba",63500
1991,Alberta,63800
1991,Atlantic provinces,51900
1991,British Columbia,64200
1991,"Calgary, Alberta",65800
1991,Canada,60700
1991,"Edmonton, Alberta",67600
1991,Manitoba,55800
1991,"Montréal, Quebec",55300
1991,New Brunswick,51400
1991,Newfoundland and Labrador,50000
1991,Nova Scotia,53700
1991,Ontario,67100
1991,"Ottawa-Gatineau, Ontario/Quebec",70600
1991,Prairie provinces,59600
1991,Prince Edward Island,53200
1991,Quebec,54600
1991,"Québec, Quebec",62300
1991,Saskatchewan,54000
1991,"Toronto, Ontario",73900
1991,"Vancouver, British Columbia",72900
1991,"Winnipeg, Manitoba",60200
1992,Alberta,61900
1992,Atlantic provinces,52800
1992,British Columbia,64700
1992,"Calgary, Alberta",63700
1992,Canada,61100
1992,"Edmonton, Alberta",68300
1992,Manitoba,57200
1992,"Montréal, Quebec",59200
1992,New Brunswick,52700
1992,Newfoundland and Labrador,48600
1992,Nova Scotia,55100
1992,Ontario,67200
1992,"Ottawa-Gatineau, Ontario/Quebec",70500
1992,Prairie provinces,58800
1992,Prince Edward Island,53900
1992,Quebec,56100
1992,"Québec, Quebec",56200
1992,Saskatchewan,55300
1992,"Toronto, Ontario",73300
1992,"Vancouver, British Columbia",68500
1992,"Winnipeg, Manitoba",62500
1993,Alberta,64100
1993,Atlantic provinces,52300
1993,British Columbia,62900
1993,"Calgary, Alberta",63900
1993,Canada,59200
1993,"Edmonton, Alberta",69800
1993,Manitoba,56100
1993,"Montréal, Quebec",52700
1993,New Brunswick,52500
1993,Newfoundland and Labrador,49600
1993,Nova Scotia,53600
1993,Ontario,65300
1993,"Ottawa-Gatineau, Ontario/Quebec",73000
1993,Prairie provinces,59600
1993,Prince Edward Island,52700
1993,Quebec,52500
1993,"Québec, Quebec",56500
1993,Saskatchewan,52400
1993,"Toronto, Ontario",68000
1993,"Vancouver, British Columbia",65800
1993,"Winnipeg, Manitoba",61200
1994,Alberta,63300
1994,Atlantic provinces,51500
1994,British Columbia,64200
1994,"Calgary, Alberta",67000
1994,Canada,60300
1994,"Edmonton, Alberta",63800
1994,Manitoba,58000
1994,"Montréal, Quebec",57200
1994,New Brunswick,51500
1994,Newfoundland and Labrador,49700
1994,Nova Scotia,52600
1994,Ontario,65800
1994,"Ottawa-Gatineau, Ontario/Quebec",70400
1994,Prairie provinces,60000
1994,Prince Edward Island,54600
1994,Quebec,54700
1994,"Québec, Quebec",56400
1994,Saskatchewan,53400
1994,"Toronto, Ontario",69700
1994,"Vancouver, British Columbia",67900
1994,"Winnipeg, Manitoba",62400
1995,Alberta,62100
1995,Atlantic provinces,50900
1995,British Columbia,63200
1995,"Calgary, Alberta",67100
1995,Canada,59700
1995,"Edmonton, Alberta",63100
1995,Manitoba,57100
1995,"Montréal, Quebec",55200
1995,New Brunswick,50800
1995,Newfoundland and Labrador,48400
1995,Nova Scotia,52500
1995,Ontario,65500
1995,"Ottawa-Gatineau, Ontario/Quebec",69500
1995,Prairie provinces,59100
1995,Prince Edward Island,53900
1995,Quebec,54100
1995,"Québec, Quebec",61000
1995,Saskatchewan,54200
