Year,GEO,"RATE_Information, culture and recreation [51, 71]#Persons#thousands#14100092_StatsCanada","RATE_Business, building and other support services [55-56]#Persons#thousands#14100092_StatsCanada",RATE_Utilities [22]#Persons#thousands#14100092_StatsCanada,"RATE_Professional, scientific and technical services [54]#Persons#thousands#14100092_StatsCanada"
2006,"Muskoka-Kawarthas, Ontario",8.8,7.4,2.1,6.8
2006,New Brunswick,11.4,21.6,3.2,14.5
2006,Newfoundland and Labrador,8.7,8.4,2.2,6.8
2006,"North Coast and Nechako, British Columbia",,,,1.8
2006,"North Shore, Nova Scotia",2.2,4.5,,1.4
2006,"Northeast, British Columbia",,,,1.8
2006,"Northeast, Ontario",9.2,11.3,2.4,8.8
2006,"Northwest, Ontario",3.2,4,,3.5
2006,Nova Scotia,16.4,28.9,1.8,18.3
2006,Ontario,317.1,290.7,47.8,449.3
2006,"Ottawa, Ontario",34.9,25.3,1.5,62.7
2006,"Outaouais, Quebec",7.6,7.5,,7.9
2006,"Parklands and North, Manitoba",0.8,0.5,,
2006,"Prince Albert and Northern, Saskatchewan",2.7,1.6,0.5,1.9
2006,Prince Edward Island,2.6,2.8,0.3,2.7
2006,Quebec,158.1,138.4,30.1,234
2006,"Red Deer, Alberta",2.4,3.5,,4
2006,"Regina-Moose Mountain, Saskatchewan",8.8,5.3,2.2,6.1
2006,"Saguenay-Lac-Saint-Jean, Quebec",2.6,2.9,1.8,5
2006,"Saint John-St. Stephen, New Brunswick",3.2,6.4,0.9,3.9
2006,Saskatchewan,20.4,12.6,4.6,18.6
2006,"Saskatoon-Biggar, Saskatchewan",6.5,4.3,1,8.5
2006,"South Central and North Central, Manitoba",1,0.8,,1.2
2006,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",0.8,1.6,0.8,0.8
2006,"Southeast, Manitoba",1.4,1,,1.3
2006,"Southern, Nova Scotia",1.4,2.5,,1
2006,"Southwest, Manitoba",2.2,1.3,0.5,1.2
2006,"Stratford-Bruce Peninsula, Ontario",4.1,6.4,5.3,3.5
2006,"Swift Current-Moose Jaw, Saskatchewan",1.7,0.9,0.5,1.5
2006,"Thompson-Okanagan, British Columbia",10.2,8.7,,13.2
2006,"Toronto, Ontario",166.8,136,17.5,258
2006,"Vancouver Island and Coast, British Columbia",16.7,17.9,,23
2006,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",1.5,1.2,,
2006,"Windsor-Sarnia, Ontario",12.1,11.4,2.8,14
2006,"Winnipeg, Manitoba",16.3,13.6,3.7,17.5
2006,"Wood Buffalo-Cold Lake, Alberta",,2,,1.9
2006,"Yorkton-Melville, Saskatchewan",0.8,0.5,,0.5
2007,"Abitibi-Témiscamingue, Quebec",1.6,1.9,,1.9
2007,Alberta,76,74.6,19.7,149.2
2007,"Annapolis Valley, Nova Scotia",1.6,2.2,,1.3
2007,"Avalon Peninsula, Newfoundland and Labrador",6,6.2,1,6.8
2007,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",5.2,4.2,,7.8
2007,"Bas-Saint-Laurent, Quebec",4.1,1.5,,3.5
2007,British Columbia,113.9,95.5,9.9,164.1
2007,"Calgary, Alberta",34.2,31.6,8.9,81
2007,"Campbellton-Miramichi, New Brunswick",2.1,2.8,0.7,1.5
2007,"Camrose-Drumheller, Alberta",2.1,3.3,1.9,2.5
2007,Canada,774.8,695.8,137.5,1124
2007,"Cape Breton, Nova Scotia",2.6,4.8,,1.9
2007,"Capitale-Nationale, Quebec",11.7,14.5,1.5,22.7
2007,"Cariboo, British Columbia",2.2,2.3,,3.1
2007,"Centre-du-Québec, Quebec",3.4,4.1,,3.7
2007,"Chaudière-Appalaches, Quebec",5.4,4.9,1.6,7.1
2007,"Côte-Nord and Nord-du-Québec, Quebec",1.6,1.8,,
2007,"Edmonton, Alberta",26.6,25.2,5.3,45.1
2007,"Edmundston-Woodstock, New Brunswick",0.8,0.7,,0.9
2007,"Estrie, Quebec",4.7,4.9,,5.7
2007,"Fredericton-Oromocto, New Brunswick",2.1,3.2,1.2,3.9
2007,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,
2007,"Halifax, Nova Scotia",11.8,13.9,0.9,10.9
2007,"Hamilton-Niagara Peninsula, Ontario",35.1,30.5,4.7,34.5
2007,"Interlake, Manitoba",1.8,0.9,0.8,1.6
2007,"Kingston-Pembroke, Ontario",6.7,11.6,4.2,7.7
2007,"Kitchener-Waterloo-Barrie, Ontario",28.5,26.9,3.9,36.6
2007,"Kootenay, British Columbia",3.4,2.4,,3.3
2007,"Lanaudière, Quebec",6,8.9,2.6,12.6
2007,"Laurentides, Quebec",13.1,9.3,3.4,14.4
2007,"Laval, Quebec",7.9,10.7,,13.6
2007,"Lethbridge-Medicine Hat, Alberta",3.4,5,,4.8
2007,"London, Ontario",14.2,14.7,2.1,15.7
2007,"Lower Mainland-Southwest, British Columbia",80.5,62.8,5.8,119.2
2007,Manitoba,23.6,17.4,5.6,25.1
2007,"Mauricie, Quebec",2.9,3.4,,4.5
2007,"Moncton-Richibucto, New Brunswick",5,7.4,,4.6
2007,"Montréal, Quebec",63.1,42,6.1,103.3
2007,"Montérégie, Quebec",30.8,24.6,7.3,44.7
2007,"Muskoka-Kawarthas, Ontario",6.6,8.2,2.8,6.2
2007,New Brunswick,13.1,19.7,4.3,15.2
2007,Newfoundland and Labrador,8.2,8.7,1.7,8.2
2007,"North Coast and Nechako, British Columbia",,1.7,,1.5
2007,"North Shore, Nova Scotia",2.1,3.8,,1.8
2007,"Northeast, British Columbia",,,,2
2007,"Northeast, Ontario",9.1,10.8,2.1,12.1
2007,"Northwest, Ontario",5,3.4,2.1,3.1
2007,Nova Scotia,19.7,27.2,1.9,17.2
2007,Ontario,328.1,291.7,57.4,469.9
2007,"Ottawa, Ontario",33.3,26.8,2.3,61.2
2007,"Outaouais, Quebec",9.3,8.4,1.7,8.2
2007,"Parklands and North, Manitoba",1.1,0.5,,0.5
2007,"Prince Albert and Northern, Saskatchewan",2.5,1.2,,2.4
2007,Prince Edward Island,2.6,2.7,0.2,2.1
2007,Quebec,169.9,146.6,32.5,252.2
2007,"Red Deer, Alberta",3,2.9,,5.2
2007,"Regina-Moose Mountain, Saskatchewan",8.1,4.2,2.1,6.7
2007,"Saguenay-Lac-Saint-Jean, Quebec",3.2,4.1,1.9,4.7
2007,"Saint John-St. Stephen, New Brunswick",3.2,5.6,1.9,4.2
2007,Saskatchewan,19.7,11.6,4.2,20.7
2007,"Saskatoon-Biggar, Saskatchewan",6.5,4.5,1,9.3
2007,"South Central and North Central, Manitoba",0.9,0.9,,1.1
2007,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",0.8,1.1,,0.7
2007,"Southeast, Manitoba",1.1,1,0.6,1.3
2007,"Southern, Nova Scotia",1.6,2.4,,1.4
2007,"Southwest, Manitoba",2.1,1.7,0.5,1
2007,"Stratford-Bruce Peninsula, Ontario",5.1,4.3,8.5,3.8
2007,"Swift Current-Moose Jaw, Saskatchewan",1.6,1.1,,1.5
2007,"Thompson-Okanagan, British Columbia",9.4,9.9,,13
2007,"Toronto, Ontario",172.4,142.5,21.1,275
2007,"Vancouver Island and Coast, British Columbia",16.6,15.7,1.7,22.1
2007,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",1.4,1.4,0.5,0.7
2007,"Windsor-Sarnia, Ontario",12.1,12,3.4,14.1
2007,"Winnipeg, Manitoba",16.7,12.3,3.2,19.6
2007,"Wood Buffalo-Cold Lake, Alberta",1.5,2.3,,2.8
2007,"Yorkton-Melville, Saskatchewan",1,0.6,,0.8
2008,"Abitibi-Témiscamingue, Quebec",2.1,2.8,,2.1
2008,Alberta,73.2,71.4,17.5,161.5
2008,"Annapolis Valley, Nova Scotia",1.8,2.7,,2.3
2008,"Avalon Peninsula, Newfoundland and Labrador",6,5.3,1,6.5
2008,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",5.5,5.7,,6
2008,"Bas-Saint-Laurent, Quebec",3.1,1.6,,2
2008,British Columbia,112.2,102.6,12.5,165.6
2008,"Calgary, Alberta",32.6,29.6,5.8,88.9
2008,"Campbellton-Miramichi, New Brunswick",1.5,2.2,,2.1
2008,"Camrose-Drumheller, Alberta",2.4,3.3,1.8,3.1
2008,Canada,749.6,704.3,146.2,1173.4
2008,"Cape Breton, Nova Scotia",2.3,4.6,0.7,1.4
2008,"Capitale-Nationale, Quebec",12.7,12.2,1.9,27.7
2008,"Cariboo, British Columbia",2.3,3.2,,3
2008,"Centre-du-Québec, Quebec",2.8,2.6,2.2,4.2
2008,"Chaudière-Appalaches, Quebec",3.9,4.7,1.5,7.6
2008,"Côte-Nord and Nord-du-Québec, Quebec",1.7,,1.9,
2008,"Edmonton, Alberta",26.3,22.4,6.3,50.7
2008,"Edmundston-Woodstock, New Brunswick",0.7,1.2,,0.6
2008,"Estrie, Quebec",5.3,4.6,,6.4
2008,"Fredericton-Oromocto, New Brunswick",2.2,2.8,1.8,4.5
2008,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,
2008,"Halifax, Nova Scotia",11.4,12.7,1.6,13.6
2008,"Hamilton-Niagara Peninsula, Ontario",29.5,35.1,5,36
2008,"Interlake, Manitoba",1.6,0.9,0.8,1.4
2008,"Kingston-Pembroke, Ontario",7.8,11.7,3.9,9.3
2008,"Kitchener-Waterloo-Barrie, Ontario",26.6,26.3,4.2,34.9
2008,"Kootenay, British Columbia",3,1.8,,3.4
2008,"Lanaudière, Quebec",8.7,9.3,2.7,12.3
2008,"Laurentides, Quebec",9.2,9.8,3.2,14.9
2008,"Laval, Quebec",11.8,8.9,1.6,15.9
2008,"Lethbridge-Medicine Hat, Alberta",2.9,5.1,,4.7
2008,"London, Ontario",13.9,15,1.8,15.3
2008,"Lower Mainland-Southwest, British Columbia",78.2,67.4,8.3,115.9
2008,Manitoba,22,18.6,6.4,25.7
2008,"Mauricie, Quebec",3.1,3.9,1.9,3.6
2008,"Moncton-Richibucto, New Brunswick",3.8,6.6,,4.9
2008,"Montréal, Quebec",66.6,39.8,3.8,102
2008,"Montérégie, Quebec",24.9,23.1,6.6,46.8
2008,"Muskoka-Kawarthas, Ontario",6.8,8.8,3.1,8.5
2008,New Brunswick,11.5,18.4,5,17.3
2008,Newfoundland and Labrador,8.7,8,1.5,8.1
2008,"North Coast and Nechako, British Columbia",,1.5,,
2008,"North Shore, Nova Scotia",1.7,3.9,0.5,1.7
2008,"Northeast, British Columbia",,,,1.8
2008,"Northeast, Ontario",10.4,12.5,2.7,10
2008,"Northwest, Ontario",4.1,3.2,,4
2008,Nova Scotia,19.3,26.3,3.1,20.6
2008,Ontario,311.2,306.7,62.8,488.8
2008,"Ottawa, Ontario",31.1,27.9,2.6,63.2
2008,"Outaouais, Quebec",9.2,9,,9.9
2008,"Parklands and North, Manitoba",1,0.5,0.6,0.5
2008,"Prince Albert and Northern, Saskatchewan",3.3,1.4,0.5,2.4
2008,Prince Edward Island,2.2,2.6,0.3,2.4
2008,Quebec,169.2,137.9,32.1,262.4
2008,"Red Deer, Alberta",1.8,2.6,,5.6
2008,"Regina-Moose Mountain, Saskatchewan",8.1,4.4,2.7,7.3
2008,"Saguenay-Lac-Saint-Jean, Quebec",3.1,3.5,,4.6
2008,"Saint John-St. Stephen, New Brunswick",3.2,5.7,2.4,5.2
2008,Saskatchewan,20,11.8,5.1,21.1
2008,"Saskatoon-Biggar, Saskatchewan",6,3.9,1,9.6
2008,"South Central and North Central, Manitoba",1.1,0.7,,0.8
2008,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",1.4,1.2,,0.7
2008,"Southeast, Manitoba",0.8,0.6,0.8,1.6
2008,"Southern, Nova Scotia",2.2,2.3,,1.5
2008,"Southwest, Manitoba",1.9,1.1,,1.1
2008,"Stratford-Bruce Peninsula, Ontario",6,4.1,9.3,2.8
2008,"Swift Current-Moose Jaw, Saskatchewan",1.5,1.2,0.6,1.2
2008,"Thompson-Okanagan, British Columbia",11.1,11.2,2.1,11.8
2008,"Toronto, Ontario",162.4,148.5,24.3,292.3
2008,"Vancouver Island and Coast, British Columbia",15.2,16.7,,28.4
2008,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",1.3,1.4,,0.9
2008,"Windsor-Sarnia, Ontario",12.5,13.6,4.5,12.5
2008,"Winnipeg, Manitoba",15.7,14.7,3.7,20.2
2008,"Wood Buffalo-Cold Lake, Alberta",1.8,2.8,,2.5
2008,"Yorkton-Melville, Saskatchewan",1.1,0.9,,0.6
2009,"Abitibi-Témiscamingue, Quebec",2.2,2.2,,2.8
2009,Alberta,74.8,72.8,19.4,149.2
2009,"Annapolis Valley, Nova Scotia",1.4,3.6,,1.9
2009,"Avalon Peninsula, Newfoundland and Labrador",6.1,4.9,0.9,6.1
2009,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",4.4,4.6,,6.9
2009,"Bas-Saint-Laurent, Quebec",3,3,,2.2
2009,British Columbia,111.9,97.9,11.9,159.8
2009,"Calgary, Alberta",32.7,32.9,7.9,81.4
2009,"Campbellton-Miramichi, New Brunswick",1.3,2.2,0.9,2.1
2009,"Camrose-Drumheller, Alberta",2.5,3.5,,3.4
2009,Canada,747.3,683.9,144.1,1149.9
2009,"Cape Breton, Nova Scotia",2.4,4.4,0.8,1.6
2009,"Capitale-Nationale, Quebec",14,13,2.5,25.5
2009,"Cariboo, British Columbia",3.5,2.4,,3
2009,"Centre-du-Québec, Quebec",1.9,2,,3.6
2009,"Chaudière-Appalaches, Quebec",4.9,7.3,,8.4
2009,"Côte-Nord and Nord-du-Québec, Quebec",1.5,,1.7,1.5
2009,"Edmonton, Alberta",28.3,23.2,6.5,45.8
2009,"Edmundston-Woodstock, New Brunswick",0.7,1,,1.1
2009,"Estrie, Quebec",4,3,,8.5
2009,"Fredericton-Oromocto, New Brunswick",2.1,3.6,1.2,4.5
2009,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,1.5
2009,"Halifax, Nova Scotia",9.5,10.8,1.6,14.1
2009,"Hamilton-Niagara Peninsula, Ontario",28.6,32.5,4.4,32.9
2009,"Interlake, Manitoba",2,1,1.2,1
2009,"Kingston-Pembroke, Ontario",7.9,11.8,3.4,8.5
2009,"Kitchener-Waterloo-Barrie, Ontario",22.3,23.7,5.1,34.5
2009,"Kootenay, British Columbia",1.9,2.8,,2
2009,"Lanaudière, Quebec",4.3,10.4,2.1,16.1
2009,"Laurentides, Quebec",12.6,12.3,3,16.1
2009,"Laval, Quebec",9.7,8.2,2.3,14.7
2009,"Lethbridge-Medicine Hat, Alberta",3,3.2,,4.9
2009,"London, Ontario",11.3,14.2,2.4,15.5
2009,"Lower Mainland-Southwest, British Columbia",77.4,63.7,7.4,114.4
2009,Manitoba,22.8,21.1,6.4,24
2009,"Mauricie, Quebec",4,4.7,3.2,3.6
2009,"Moncton-Richibucto, New Brunswick",4.1,7.1,,4.1
2009,"Montréal, Quebec",64.9,41.7,5.4,98.9
2009,"Montérégie, Quebec",28.7,22.8,8.5,50
2009,"Muskoka-Kawarthas, Ontario",7.3,9.7,2.6,7.3
2009,New Brunswick,11,20.3,4.7,16.7
2009,Newfoundland and Labrador,9.1,7.3,1.6,7.4
2009,"North Coast and Nechako, British Columbia",,,,
2009,"North Shore, Nova Scotia",2.3,3.1,,1.3
2009,"Northeast, British Columbia",,,,2.3
2009,"Northeast, Ontario",8.2,7.7,2.3,7.6
2009,"Northwest, Ontario",4.1,2.8,2,4.6
2009,Nova Scotia,17.4,24.3,3.1,20.6
2009,Ontario,312,279.6,56,480.1
2009,"Ottawa, Ontario",29.9,23,2.6,64.7
2009,"Outaouais, Quebec",7.2,9.6,1.9,9.1
2009,"Parklands and North, Manitoba",0.8,0.5,0.5,0.8
2009,"Prince Albert and Northern, Saskatchewan",2.9,2.3,0.6,2.4
2009,Prince Edward Island,2.3,2.7,0.2,2.2
2009,Quebec,166.8,145.3,35.5,267.8
2009,"Red Deer, Alberta",2.7,2.9,,4.3
2009,"Regina-Moose Mountain, Saskatchewan",7.1,5,3.1,7.5
2009,"Saguenay-Lac-Saint-Jean, Quebec",2.7,3.1,,5.3
2009,"Saint John-St. Stephen, New Brunswick",2.8,6.5,2.2,5.1
2009,Saskatchewan,19.2,12.6,5.3,22.2
2009,"Saskatoon-Biggar, Saskatchewan",6.7,3.9,1.2,10
2009,"South Central and North Central, Manitoba",1.1,1.1,,0.8
2009,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",1.3,1,,0.8
2009,"Southeast, Manitoba",1.5,1.6,1,1.4
2009,"Southern, Nova Scotia",1.9,2.4,,1.6
2009,"Southwest, Manitoba",1.4,1.2,,1.4
2009,"Stratford-Bruce Peninsula, Ontario",3.4,4.1,6.8,3.8
2009,"Swift Current-Moose Jaw, Saskatchewan",1.6,0.6,,1.4
2009,"Thompson-Okanagan, British Columbia",10.7,10.3,,13.3
2009,"Toronto, Ontario",176.3,137.6,20.5,290.4
2009,"Vancouver Island and Coast, British Columbia",16.3,17.3,1.9,23.3
2009,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",1.7,1.4,,0.5
2009,"Windsor-Sarnia, Ontario",12.7,12.4,3.8,10.1
2009,"Winnipeg, Manitoba",16,15.7,3,18.6
2009,"Wood Buffalo-Cold Lake, Alberta",,2.6,,2.5
2009,"Yorkton-Melville, Saskatchewan",0.9,0.9,,0.8
2010,"Abitibi-Témiscamingue, Quebec",,2.3,,2.7
2010,Alberta,75.5,72,18.2,150.4
2010,"Annapolis Valley, Nova Scotia",2,3,0.5,1.8
2010,"Avalon Peninsula, Newfoundland and Labrador",5.8,3.8,1.2,5.4
2010,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",4,5.2,1.6,7.1
2010,"Bas-Saint-Laurent, Quebec",2.3,2.3,,3.2
2010,British Columbia,112.1,95.4,12.2,163.1
2010,"Calgary, Alberta",36.3,27.6,5.7,78.8
2010,"Campbellton-Miramichi, New Brunswick",1.2,2.4,0.7,1.3
2010,"Camrose-Drumheller, Alberta",2.5,3.3,1.5,4
2010,Canada,762.8,691.5,141.3,1216.1
2010,"Cape Breton, Nova Scotia",2.2,3.5,0.8,1.2
2010,"Capitale-Nationale, Quebec",15.1,15,3.7,31.3
2010,"Cariboo, British Columbia",2.3,2.6,,2.9
2010,"Centre-du-Québec, Quebec",2,2.9,,2.5
2010,"Chaudière-Appalaches, Quebec",4.9,3.9,,9.7
2010,"Côte-Nord and Nord-du-Québec, Quebec",,1.7,1.9,
2010,"Edmonton, Alberta",22.9,24.8,7.1,45.7
2010,"Edmundston-Woodstock, New Brunswick",1.3,1,,0.9
2010,"Estrie, Quebec",3.9,4.2,,7.5
2010,"Fredericton-Oromocto, New Brunswick",2.3,3.6,1.5,4.5
2010,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,
2010,"Halifax, Nova Scotia",11.5,12,1.9,15.2
2010,"Hamilton-Niagara Peninsula, Ontario",29.8,31.7,5.8,34.7
2010,"Interlake, Manitoba",2.3,0.5,0.8,1.4
2010,"Kingston-Pembroke, Ontario",5.6,8.9,3.3,9.9
2010,"Kitchener-Waterloo-Barrie, Ontario",23.9,27.2,3.5,36.9
2010,"Kootenay, British Columbia",2.7,3.7,,2.1
2010,"Lanaudière, Quebec",9.6,11.5,2.3,12.8
2010,"Laurentides, Quebec",11.9,13.5,1.7,19.9
2010,"Laval, Quebec",7,8,,22.7
2010,"Lethbridge-Medicine Hat, Alberta",4.6,4.8,,6.8
2010,"London, Ontario",11.7,16.7,,15.2
2010,"Lower Mainland-Southwest, British Columbia",77.2,63.1,8.1,114
2010,Manitoba,21.7,20.5,7,24.1
2010,"Mauricie, Quebec",3.7,5,2.2,6.5
2010,"Moncton-Richibucto, New Brunswick",4,6.3,,4.5
2010,"Montréal, Quebec",64.6,39.1,5.4,112.1
2010,"Montérégie, Quebec",32.9,26,9,48.9
2010,"Muskoka-Kawarthas, Ontario",6.9,7.6,3,8.3
2010,New Brunswick,11.6,18.7,4.4,16.2
2010,Newfoundland and Labrador,7.9,6,1.8,6.8
2010,"North Coast and Nechako, British Columbia",,,,2.3
2010,"North Shore, Nova Scotia",2.2,3.6,0.6,1.6
2010,"Northeast, British Columbia",,,,2
2010,"Northeast, Ontario",9.2,8.7,3.5,8.5
2010,"Northwest, Ontario",3.5,3,1.6,4.7
2010,Nova Scotia,19.6,24.8,3.9,21.1
2010,Ontario,319.7,290.5,54.3,511.8
2010,"Ottawa, Ontario",30.3,24.9,2,62.9
2010,"Outaouais, Quebec",8.6,7.8,,8.6
2010,"Parklands and North, Manitoba",0.7,0.7,0.9,0.7
2010,"Prince Albert and Northern, Saskatchewan",3.2,2.3,,2.2
2010,Prince Edward Island,2.4,3,0.2,2.7
2010,Quebec,173.7,148.4,35.1,296.6
2010,"Red Deer, Alberta",3.8,2.5,,5.3
2010,"Regina-Moose Mountain, Saskatchewan",7.3,4.8,2.4,7.8
2010,"Saguenay-Lac-Saint-Jean, Quebec",3.5,4.3,1.8,5.9
2010,"Saint John-St. Stephen, New Brunswick",2.8,5.4,1.6,5
2010,Saskatchewan,18.6,12.2,4.3,23.1
2010,"Saskatoon-Biggar, Saskatchewan",5.6,3.4,1.1,10.1
2010,"South Central and North Central, Manitoba",1.3,0.7,,0.7
2010,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",1.1,1,,0.5
2010,"Southeast, Manitoba",1.7,1.6,0.8,1.8
2010,"Southern, Nova Scotia",1.6,2.7,,1.2
2010,"Southwest, Manitoba",1.4,0.8,0.8,1.5
2010,"Stratford-Bruce Peninsula, Ontario",4.4,4.9,7.4,4.3
2010,"Swift Current-Moose Jaw, Saskatchewan",1.6,1.1,,1.9
2010,"Thompson-Okanagan, British Columbia",13.1,7.5,1.7,15
2010,"Toronto, Ontario",182.4,144.3,19.3,314.7
2010,"Vancouver Island and Coast, British Columbia",14.7,17,,24.7
2010,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",1.1,1.1,,0.9
2010,"Windsor-Sarnia, Ontario",12,12.4,3.6,11.8
2010,"Winnipeg, Manitoba",14.3,16.2,3.4,18.1
2010,"Wood Buffalo-Cold Lake, Alberta",,3.7,,2.8
2010,"Yorkton-Melville, Saskatchewan",1,0.6,,1.1
2011,"Abitibi-Témiscamingue, Quebec",1.6,2.2,,2.5
2011,Alberta,76.8,73.1,17.1,162.1
2011,"Annapolis Valley, Nova Scotia",2,2.8,,2.8
2011,"Avalon Peninsula, Newfoundland and Labrador",5.2,4,1.3,7.4
2011,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",4.3,5.3,1.8,7.5
2011,"Bas-Saint-Laurent, Quebec",5,2.7,,3.5
2011,British Columbia,107.6,94.5,11.3,174.2
2011,"Calgary, Alberta",35.5,28.7,6.4,89.6
2011,"Campbellton-Miramichi, New Brunswick",1.2,2.2,0.6,1.9
2011,"Camrose-Drumheller, Alberta",3.2,2.2,,4
2011,Canada,771.9,694.3,137.1,1264.6
2011,"Cape Breton, Nova Scotia",2.4,3.7,,1.8
2011,"Capitale-Nationale, Quebec",10.9,16.8,1.8,29.8
2011,"Cariboo, British Columbia",2.4,2.5,,3.9
2011,"Centre-du-Québec, Quebec",2.8,3.7,,3.9
2011,"Chaudière-Appalaches, Quebec",3.6,6,,11.6
2011,"Côte-Nord and Nord-du-Québec, Quebec",,1.8,2.6,
2011,"Edmonton, Alberta",26.6,25.4,4.9,44.8
2011,"Edmundston-Woodstock, New Brunswick",1.1,1,,0.9
2011,"Estrie, Quebec",4.4,6.2,,9.1
2011,"Fredericton-Oromocto, New Brunswick",2.1,3.2,1.1,4.1
2011,"Gaspésie-Îles-de-la-Madeleine, Quebec",,,,1.7
2011,"Halifax, Nova Scotia",10.7,10.8,2.3,14.3
2011,"Hamilton-Niagara Peninsula, Ontario",27.6,31.7,5.3,35.5
2011,"Interlake, Manitoba",1.5,0.8,1,1.8
2011,"Kingston-Pembroke, Ontario",6.7,11.8,3.5,10.1
2011,"Kitchener-Waterloo-Barrie, Ontario",28,23.9,4.1,43.6
2011,"Kootenay, British Columbia",2.1,3.3,,2.3
2011,"Lanaudière, Quebec",9,9.6,2.7,14.4
2011,"Laurentides, Quebec",13,10.7,3.3,19.4
2011,"Laval, Quebec",7.7,7.3,,16.8
2011,"Lethbridge-Medicine Hat, Alberta",2.7,3.7,,6.9
2011,"London, Ontario",12.2,13.9,,16.2
2011,"Lower Mainland-Southwest, British Columbia",74.4,61.2,6.8,123.2
2011,Manitoba,22,17.7,7,24
2011,"Mauricie, Quebec",4.5,4.5,,6
2011,"Moncton-Richibucto, New Brunswick",4.4,6.5,,4.5
2011,"Montréal, Quebec",64.1,44.7,8.2,111.5
2011,"Montérégie, Quebec",32.2,22,7.1,51.9
2011,"Muskoka-Kawarthas, Ontario",6.4,6,2.3,7.5
2011,New Brunswick,11.7,18,3.7,15.6
2011,Newfoundland and Labrador,7.1,6.2,2.1,9
2011,"North Coast and Nechako, British Columbia",,1.5,,1.7
2011,"North Shore, Nova Scotia",2.6,3.1,,2.2
2011,"Northeast, British Columbia",,,,2.3
2011,"Northeast, Ontario",7.9,10.2,2.9,9.8
2011,"Northwest, Ontario",3.4,2.9,2.3,3.9
2011,Nova Scotia,19.2,22.1,3.5,22.5
2011,Ontario,334.7,295.8,52.3,529.9
2011,"Ottawa, Ontario",27.5,28.3,1.8,64.4
2011,"Outaouais, Quebec",7.6,7.7,1.5,10
2011,"Parklands and North, Manitoba",0.8,0.9,0.8,0.8
2011,"Prince Albert and Northern, Saskatchewan",3.3,1.4,0.5,3.1
2011,Prince Edward Island,2.4,2.5,0.2,3
2011,Quebec,171.5,152.6,35.3,300.4
2011,"Red Deer, Alberta",2.9,3.9,,6.3
2011,"Regina-Moose Mountain, Saskatchewan",8.6,4.5,2.2,8.3
2011,"Saguenay-Lac-Saint-Jean, Quebec",3.2,5.7,1.7,7
2011,"Saint John-St. Stephen, New Brunswick",2.9,5.1,1.6,4.2
2011,Saskatchewan,19,11.9,4.5,23.8
2011,"Saskatoon-Biggar, Saskatchewan",4.8,3.8,0.9,10.4
2011,"South Central and North Central, Manitoba",1.1,0.8,,0.8
2011,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",0.8,1.1,,1
2011,"Southeast, Manitoba",1.6,1.6,1,1.8
2011,"Southern, Nova Scotia",1.6,1.8,,1.5
2011,"Southwest, Manitoba",1.4,1.2,0.5,1.5
2011,"Stratford-Bruce Peninsula, Ontario",4.5,4.8,3.9,6.8
2011,"Swift Current-Moose Jaw, Saskatchewan",1.5,1,0.7,1.2
2011,"Thompson-Okanagan, British Columbia",10.7,8.4,2.5,13.7
2011,"Toronto, Ontario",196.9,150.2,21.7,320.9
2011,"Vancouver Island and Coast, British Columbia",16.2,16.5,,26.9
2011,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",1,1,,0.7
2011,"Windsor-Sarnia, Ontario",13.7,12.3,3.1,11.1
2011,"Winnipeg, Manitoba",15.6,12.5,3.3,17.3
2011,"Wood Buffalo-Cold Lake, Alberta",1.5,3.8,,3.1
2011,"Yorkton-Melville, Saskatchewan",0.8,1.2,,0.8
2012,"Abitibi-Témiscamingue, Quebec",2.4,,,2
2012,Alberta,70.4,73.1,18.4,166.3
2012,"Annapolis Valley, Nova Scotia",1.5,2.5,,2.4
2012,"Avalon Peninsula, Newfoundland and Labrador",5.1,4.2,1.9,8.2
