Year,GEO,RATE_Robbery [1610]#Cleared otherwise#Number#units #35100177_StatsCanada,"RATE_Sexual assault, level 1 [1330]#Cleared by charge#Number#units #35100177_StatsCanada","RATE_Possession of weapons [3375]#Total, youth not charged#Number#units #35100177_StatsCanada","RATE_Theft $5,000 or under from a motor vehicle [2142]#Cleared by charge#Number#units #35100177_StatsCanada","RATE_Other Controlled Drugs and Substances Act, importation and exportation [4330]#Cleared otherwise#Number#units #35100177_StatsCanada","RATE_Uttering threats [1627]#Total, youth not charged#Number#units #35100177_StatsCanada",RATE_Criminal harassment [1625]#Actual incidents#Number#units #35100177_StatsCanada,"RATE_Total, all Criminal Code violations (including traffic) [25]#Cleared otherwise#Number#units #35100177_StatsCanada"
2006,"Edmonton, Alberta [48835]",14,223,31,122,64,151,249,8099
2006,"Greater Sudbury, Ontario [35580]",3,54,2,22,1,21,93,861
2006,"Guelph, Ontario [35550]",1,22,7,13,0,3,38,393
2006,"Halifax, Nova Scotia [12205]",19,90,30,35,0,62,245,2386
2006,"Hamilton, Ontario [35537]",61,98,34,15,0,121,479,5596
2006,"Kelowna, British Columbia [59915]",6,50,7,28,0,26,155,2923
2006,"Kingston, Ontario [35521]",2,36,8,24,236,42,317,1565
2006,"Kitchener-Cambridge-Waterloo, Ontario [35541]",14,114,60,46,3,71,448,2524
2006,"London, Ontario [35555]",15,117,20,49,3,33,208,3851
2006,Manitoba [46],38,573,100,145,0,419,347,22523
2006,"Moncton, New Brunswick [13305]",3,27,1,8,0,19,68,2331
2006,"Montréal, Quebec [24462]",284,685,34,805,0,379,2095,20780
2006,New Brunswick [13],10,193,11,50,74,147,507,9795
2006,Newfoundland and Labrador [10],2,128,4,34,1,135,155,7682
2006,Northwest Territories [61],3,78,4,3,0,52,69,10399
2006,Nova Scotia [12],25,269,60,118,0,369,499,14613
2006,Nunavut [62],1,145,1,3,0,29,38,5957
2006,Ontario [35],682,3316,621,1063,1,1536,8673,86947
2006,"Ottawa-Gatineau, Ontario part [35505]",29,112,55,64,0,70,241,5160
2006,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",35,163,55,114,0,151,443,7820
2006,"Ottawa-Gatineau, Quebec part [24505]",6,51,0,50,0,81,202,2660
2006,"Peterborough, Ontario [35529]",1,55,2,20,34,15,93,771
2006,Prince Edward Island [11],0,36,6,16,0,59,88,1934
2006,Quebec [24],322,1842,52,1451,192,925,4959,50821
2006,"Québec, Quebec [24421]",3,156,1,126,0,37,471,1563
2006,"Regina, Saskatchewan [47705]",8,70,8,28,67,20,45,1687
2006,"Saguenay, Quebec [24408]",1,74,1,9,0,20,165,1010
2006,"Saint John, New Brunswick [13310]",5,28,0,6,2,19,148,1270
2006,Saskatchewan [47],38,435,60,184,0,381,551,33552
2006,"Saskatoon, Saskatchewan [47725]",13,31,17,46,0,25,282,2129
2006,"Sherbrooke, Quebec [24433]",6,19,2,21,0,15,101,1076
2006,"St. John's, Newfoundland and Labrador [10001]",1,23,0,17,0,11,65,348
2006,"St.Catharines-Niagara, Ontario [35539]",24,61,12,75,0,33,194,2593
2006,"Thunder Bay, Ontario [35595]",4,48,5,18,0,26,168,1310
2006,"Toronto, Ontario [35535]",461,1234,246,439,102,371,3275,27655
2006,"Trois-Rivières, Quebec [24442]",1,41,0,39,0,21,84,1066
2006,"Vancouver, British Columbia [59933]",85,335,258,226,182,197,1427,21531
2006,"Victoria, British Columbia [59935]",8,65,19,46,0,37,142,2995
2006,"Windsor, Ontario [35559]",15,46,9,19,0,62,148,2618
2006,"Winnipeg, Manitoba [46602]",28,246,48,121,0,108,154,2915
2006,Yukon [60],1,22,1,1,0,16,14,3146
2007,"Abbotsford-Mission, British Columbia [59932]",14,44,12,8,5,18,68,1667
2007,Alberta [48],99,852,171,345,1,766,1317,61238
2007,"Barrie, Ontario [35568]",2,60,6,26,0,29,90,1664
2007,"Brantford, Ontario [35543]",3,39,13,8,0,39,119,1183
2007,British Columbia [59],117,1176,379,406,0,634,1988,55243
2007,"Calgary, Alberta [48825]",39,132,47,167,5,69,268,5835
2007,Canada,1339,8989,1422,3008,0,5489,18179,355780
2007,"Edmonton, Alberta [48835]",37,230,31,97,8,162,312,10326
2007,"Greater Sudbury, Ontario [35580]",3,60,6,11,0,20,95,748
2007,"Guelph, Ontario [35550]",2,31,9,10,0,11,67,749
2007,"Halifax, Nova Scotia [12205]",10,72,37,11,0,73,163,2078
2007,"Hamilton, Ontario [35537]",96,91,42,11,0,152,457,6486
2007,"Kelowna, British Columbia [59915]",6,35,15,12,0,42,135,4291
2007,"Kingston, Ontario [35521]",3,45,4,15,65,26,378,1226
2007,"Kitchener-Cambridge-Waterloo, Ontario [35541]",11,84,55,35,17,39,410,2540
2007,"London, Ontario [35555]",21,142,21,31,17,30,190,3507
2007,Manitoba [46],31,587,93,99,0,313,257,21429
2007,"Moncton, New Brunswick [13305]",0,37,4,7,0,49,57,1814
2007,"Montréal, Quebec [24462]",266,564,42,510,0,402,1736,19487
2007,New Brunswick [13],3,221,14,89,10,226,467,8905
2007,Newfoundland and Labrador [10],13,186,1,17,0,138,172,7861
2007,Northwest Territories [61],4,100,6,1,0,57,55,11142
2007,Nova Scotia [12],16,225,68,44,0,300,345,12661
2007,Nunavut [62],0,153,7,0,0,26,26,5417
2007,Ontario [35],676,3389,522,776,0,1601,8564,82872
2007,"Ottawa-Gatineau, Ontario part [35505]",17,100,40,68,0,64,267,5365
2007,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",25,142,42,112,0,143,459,8006
2007,"Ottawa-Gatineau, Quebec part [24505]",8,42,2,44,0,79,192,2641
2007,"Peterborough, Ontario [35529]",3,59,2,15,16,9,69,591
2007,Prince Edward Island [11],0,34,6,11,0,39,79,1508
2007,Quebec [24],337,1554,64,1115,15,966,4380,50883
2007,"Québec, Quebec [24421]",21,110,1,129,0,17,482,3209
2007,"Regina, Saskatchewan [47705]",5,82,6,25,98,32,55,1301
2007,"Saguenay, Quebec [24408]",1,56,0,21,1,24,156,965
2007,"Saint John, New Brunswick [13310]",1,49,2,13,5,39,171,1807
2007,Saskatchewan [47],41,486,89,104,0,398,513,33305
2007,"Saskatoon, Saskatchewan [47725]",17,50,21,20,0,39,236,2336
2007,"Sherbrooke, Quebec [24433]",3,19,1,16,0,20,109,1112
2007,"St. John's, Newfoundland and Labrador [10001]",12,24,0,11,1,19,93,670
2007,"St.Catharines-Niagara, Ontario [35539]",9,77,24,57,0,40,202,2634
2007,"Thunder Bay, Ontario [35595]",1,64,10,20,0,35,150,1325
2007,"Toronto, Ontario [35535]",442,1235,154,264,62,408,3074,24233
2007,"Trois-Rivières, Quebec [24442]",1,34,0,106,0,19,85,895
2007,"Vancouver, British Columbia [59933]",60,335,258,140,255,154,723,17474
2007,"Victoria, British Columbia [59935]",13,67,20,36,1,44,93,3850
2007,"Windsor, Ontario [35559]",18,81,4,22,0,66,200,2519
2007,"Winnipeg, Manitoba [46602]",19,235,28,65,0,53,96,1805
2007,Yukon [60],2,26,2,1,1,25,16,3316
2008,"Abbotsford-Mission, British Columbia [59932]",9,36,23,8,4,39,70,1968
2008,Alberta [48],87,947,169,303,0,814,1649,65833
2008,"Barrie, Ontario [35568]",2,53,15,4,0,33,115,1493
2008,"Brantford, Ontario [35543]",5,33,4,16,0,41,126,1298
2008,British Columbia [59],149,1076,391,311,0,563,1650,53449
2008,"Calgary, Alberta [48825]",35,171,25,141,13,88,300,5580
2008,Canada,1296,9229,1332,3499,0,5500,18550,363722
2008,"Edmonton, Alberta [48835]",23,275,54,66,31,162,417,10472
2008,"Greater Sudbury, Ontario [35580]",1,72,3,13,1,20,123,674
2008,"Guelph, Ontario [35550]",1,25,19,18,0,9,65,677
2008,"Halifax, Nova Scotia [12205]",13,109,10,10,0,45,179,1793
2008,"Hamilton, Ontario [35537]",97,91,16,21,1,138,405,6256
2008,"Kelowna, British Columbia [59915]",6,49,16,9,0,43,59,4080
2008,"Kingston, Ontario [35521]",4,55,4,8,139,36,275,1252
2008,"Kitchener-Cambridge-Waterloo, Ontario [35541]",4,89,39,87,1,62,513,2814
2008,"London, Ontario [35555]",21,130,24,28,1,37,204,3590
2008,Manitoba [46],36,566,76,86,0,375,326,24031
2008,"Moncton, New Brunswick [13305]",1,43,0,8,0,39,76,1839
2008,"Montréal, Quebec [24462]",295,609,32,709,0,370,1820,19675
2008,New Brunswick [13],10,242,12,97,37,243,596,9770
2008,Newfoundland and Labrador [10],3,171,1,17,3,157,197,8203
2008,Northwest Territories [61],7,106,4,1,0,48,47,11519
2008,Nova Scotia [12],18,302,27,48,0,277,441,12110
2008,Nunavut [62],3,153,7,0,0,18,21,6437
2008,Ontario [35],552,3587,492,968,1,1601,8711,80350
2008,"Ottawa-Gatineau, Ontario part [35505]",38,114,55,79,1,71,272,5423
2008,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",48,144,58,175,0,160,508,8088
2008,"Ottawa-Gatineau, Quebec part [24505]",10,30,3,96,0,89,236,2665
2008,"Peterborough, Ontario [35529]",5,72,3,6,6,15,77,548
2008,Prince Edward Island [11],0,26,2,9,0,45,99,1642
2008,Quebec [24],381,1576,63,1538,15,1007,4220,54433
2008,"Québec, Quebec [24421]",33,92,2,166,0,12,422,5841
2008,"Regina, Saskatchewan [47705]",4,67,12,29,62,26,59,1168
2008,"Saguenay, Quebec [24408]",2,57,0,14,0,23,142,1021
2008,"Saint John, New Brunswick [13310]",7,39,8,32,109,43,192,2269
2008,Saskatchewan [47],50,458,86,121,2,332,569,32276
2008,"Saskatoon, Saskatchewan [47725]",12,66,32,27,0,35,240,2053
2008,"Sherbrooke, Quebec [24433]",1,29,1,31,0,16,74,1122
2008,"St. John's, Newfoundland and Labrador [10001]",1,18,1,8,4,36,114,785
2008,"St.Catharines-Niagara, Ontario [35539]",7,59,17,78,0,40,255,2873
2008,"Thunder Bay, Ontario [35595]",2,52,1,9,0,25,139,1069
2008,"Toronto, Ontario [35535]",306,1275,160,366,3,372,3170,22441
2008,"Trois-Rivières, Quebec [24442]",4,26,1,43,1,11,66,985
2008,"Vancouver, British Columbia [59933]",94,331,269,132,133,197,772,17560
2008,"Victoria, British Columbia [59935]",8,54,15,32,2,36,171,3801
2008,"Windsor, Ontario [35559]",14,81,4,9,0,65,189,2228
2008,"Winnipeg, Manitoba [46602]",22,218,23,58,0,77,119,2348
2008,Yukon [60],0,19,2,0,1,20,24,3669
2009,"Abbotsford-Mission, British Columbia [59932]",12,35,20,6,4,41,90,1850
2009,Alberta [48],113,945,100,311,1,779,1836,67063
2009,"Barrie, Ontario [35568]",3,46,15,9,0,29,144,1380
2009,"Brantford, Ontario [35543]",4,46,12,24,1,35,137,1413
2009,British Columbia [59],136,1191,350,271,0,539,2140,57041
2009,"Calgary, Alberta [48825]",39,147,14,138,1,72,339,5895
2009,Canada,1221,8921,1194,3990,0,5430,19860,368991
2009,"Edmonton, Alberta [48835]",50,251,26,69,12,152,389,11880
2009,"Greater Sudbury, Ontario [35580]",2,46,9,26,1,36,160,708
2009,"Guelph, Ontario [35550]",1,23,10,31,0,12,71,723
2009,"Halifax, Nova Scotia [12205]",13,72,22,8,0,35,187,1714
2009,"Hamilton, Ontario [35537]",74,118,24,18,2,103,428,5941
2009,"Kelowna, British Columbia [59915]",12,45,5,11,0,47,51,4818
2009,"Kingston, Ontario [35521]",1,76,2,13,89,45,147,990
2009,"Kitchener-Cambridge-Waterloo, Ontario [35541]",2,100,28,78,1,73,522,2709
2009,"London, Ontario [35555]",32,121,20,53,1,34,204,3635
2009,Manitoba [46],31,567,98,125,0,362,266,24391
2009,"Moncton, New Brunswick [13305]",1,49,2,8,0,39,115,1661
2009,"Montréal, Quebec [24462]",353,519,33,695,0,440,1807,22723
2009,New Brunswick [13],9,260,13,65,33,232,611,9491
2009,Newfoundland and Labrador [10],1,147,5,41,15,97,229,7709
2009,Northwest Territories [61],0,110,7,1,0,51,56,11249
2009,Nova Scotia [12],20,240,40,84,0,275,479,11646
2009,Nunavut [62],0,145,5,0,0,10,25,7564
2009,Ontario [35],489,3385,445,1388,0,1518,9225,77380
2009,"Ottawa-Gatineau, Ontario part [35505]",49,103,30,46,0,70,275,5497
2009,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",52,149,37,133,0,171,551,8257
2009,"Ottawa-Gatineau, Quebec part [24505]",3,46,7,87,0,101,276,2760
2009,"Peterborough, Ontario [35529]",0,31,6,8,5,16,73,662
2009,Prince Edward Island [11],0,30,7,10,0,45,114,1799
2009,Quebec [24],403,1438,60,1528,28,1167,4338,55731
2009,"Québec, Quebec [24421]",6,134,0,104,0,53,384,2893
2009,"Regina, Saskatchewan [47705]",2,64,9,34,2,12,44,1227
2009,"Saguenay, Quebec [24408]",1,37,0,28,0,21,171,1024
2009,"Saint John, New Brunswick [13310]",5,34,8,23,49,51,161,2218
2009,Saskatchewan [47],19,427,63,163,0,342,528,33958
2009,"Saskatoon, Saskatchewan [47725]",3,33,9,34,0,21,181,1158
2009,"Sherbrooke, Quebec [24433]",10,32,4,43,0,36,102,1771
2009,"St. John's, Newfoundland and Labrador [10001]",0,13,0,12,1,15,147,708
2009,"St.Catharines-Niagara, Ontario [35539]",7,65,16,104,1,40,263,2678
2009,"Thunder Bay, Ontario [35595]",1,41,0,15,0,23,129,928
2009,"Toronto, Ontario [35535]",253,1186,135,677,10,306,3457,20780
2009,"Trois-Rivières, Quebec [24442]",3,34,1,33,0,30,72,1106
2009,"Vancouver, British Columbia [59933]",65,344,236,111,149,155,949,17782
2009,"Victoria, British Columbia [59935]",18,71,28,39,1,41,173,4125
2009,"Windsor, Ontario [35559]",15,83,0,26,0,43,205,2172
2009,"Winnipeg, Manitoba [46602]",18,230,26,81,1,86,124,2442
2009,Yukon [60],0,36,1,3,2,13,13,3969
2010,"Abbotsford-Mission, British Columbia [59932]",5,50,20,6,7,23,89,1788
2010,Alberta [48],115,1057,158,302,0,808,2056,66219
2010,"Barrie, Ontario [35568]",2,54,3,7,0,57,171,1485
2010,"Brantford, Ontario [35543]",1,60,8,8,4,34,153,1397
2010,British Columbia [59],153,1407,416,347,1,514,2538,58374
2010,"Calgary, Alberta [48825]",55,159,37,118,4,65,433,6230
2010,Canada,1389,9446,1144,4086,0,5444,21315,372157
2010,"Edmonton, Alberta [48835]",33,294,51,85,2,184,426,11102
2010,"Greater Sudbury, Ontario [35580]",2,54,4,21,1,26,171,746
2010,"Guelph, Ontario [35550]",2,30,5,19,0,15,77,757
2010,"Halifax, Nova Scotia [12205]",18,79,12,27,0,28,238,1876
2010,"Hamilton, Ontario [35537]",58,157,18,18,2,79,459,4567
2010,"Kelowna, British Columbia [59915]",8,63,12,11,0,40,94,4524
2010,"Kingston, Ontario [35521]",1,58,2,4,119,20,157,799
2010,"Kitchener-Cambridge-Waterloo, Ontario [35541]",5,90,34,96,0,81,595,3065
2010,"London, Ontario [35555]",26,140,11,43,0,26,322,3633
2010,Manitoba [46],39,597,72,134,0,344,426,25256
2010,"Moncton, New Brunswick [13305]",1,51,3,12,0,38,105,1630
2010,"Montréal, Quebec [24462]",288,510,22,750,0,418,1765,20246
2010,New Brunswick [13],14,259,10,141,12,202,662,8974
2010,Newfoundland and Labrador [10],5,155,12,20,2,110,223,6830
2010,Northwest Territories [61],4,103,4,1,0,36,58,12904
2010,Nova Scotia [12],22,250,21,76,0,276,551,11475
2010,Nunavut [62],6,140,4,1,0,32,27,7937
2010,Ontario [35],639,3516,339,1184,0,1579,9626,79133
2010,"Ottawa-Gatineau, Ontario part [35505]",31,108,23,54,0,71,271,5980
2010,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",33,146,28,159,0,152,514,8719
2010,"Ottawa-Gatineau, Quebec part [24505]",2,38,5,105,0,81,243,2739
2010,"Peterborough, Ontario [35529]",7,38,1,4,15,25,75,732
2010,Prince Edward Island [11],1,31,1,18,0,28,98,1672
2010,Quebec [24],347,1438,52,1697,54,1137,4379,54840
2010,"Québec, Quebec [24421]",10,116,3,191,0,60,392,3526
2010,"Regina, Saskatchewan [47705]",4,77,7,48,10,32,52,1438
2010,"Saguenay, Quebec [24408]",1,51,0,45,0,17,168,928
2010,"Saint John, New Brunswick [13310]",8,24,4,44,35,40,213,2077
2010,Saskatchewan [47],42,456,55,165,0,361,649,34950
2010,"Saskatoon, Saskatchewan [47725]",7,53,10,22,0,19,198,1439
2010,"Sherbrooke, Quebec [24433]",3,21,1,38,0,19,92,1472
2010,"St. John's, Newfoundland and Labrador [10001]",5,23,2,10,7,13,152,632
2010,"St.Catharines-Niagara, Ontario [35539]",8,94,11,50,1,25,235,2983
2010,"Thunder Bay, Ontario [35595]",6,42,3,17,,34,147,1181
2010,"Toronto, Ontario [35535]",427,1286,120,520,0,363,3365,21369
2010,"Trois-Rivières, Quebec [24442]",4,24,1,54,10,18,79,1202
2010,"Vancouver, British Columbia [59933]",92,435,292,131,1,162,974,19160
2010,"Victoria, British Columbia [59935]",15,67,21,39,136,42,250,4398
2010,"Windsor, Ontario [35559]",19,77,0,38,5,36,235,2072
2010,"Winnipeg, Manitoba [46602]",21,245,29,100,0,89,103,2393
2010,Yukon [60],2,37,0,0,0,17,22,3593
2011,"Abbotsford-Mission, British Columbia [59932]",9,41,13,8,0,13,59,1665
2011,Alberta [48],68,1157,129,295,3,553,2220,60161
2011,"Barrie, Ontario [35568]",1,36,5,5,0,33,190,1391
2011,"Belleville, Ontario [35522]",,,,,0,,,
2011,"Brantford, Ontario [35543]",0,59,6,21,0,30,116,1190
2011,British Columbia [59],139,1283,367,345,,454,2542,63560
2011,"Calgary, Alberta [48825]",35,186,15,56,0,50,440,6094
2011,Canada,1063,9335,1108,4335,8,4863,21752,361098
2011,"Edmonton, Alberta [48835]",12,362,57,126,0,158,581,9830
2011,"Greater Sudbury, Ontario [35580]",2,67,4,16,4,38,181,794
2011,"Guelph, Ontario [35550]",1,39,6,8,0,15,69,562
2011,"Halifax, Nova Scotia [12205]",12,92,26,95,0,38,148,2344
2011,"Hamilton, Ontario [35537]",49,119,19,22,0,67,335,4402
2011,"Kelowna, British Columbia [59915]",2,81,7,7,0,40,87,3955
2011,"Kingston, Ontario [35521]",1,48,2,13,0,26,159,1238
2011,"Kitchener-Cambridge-Waterloo, Ontario [35541]",2,114,51,117,95,87,484,2541
2011,"Lethbridge, Alberta [48810]",,,,,0,,,
2011,"London, Ontario [35555]",20,131,8,50,0,37,268,3843
2011,Manitoba [46],39,630,45,154,0,305,334,25709
2011,"Moncton, New Brunswick [13305]",1,50,3,22,0,23,91,1365
2011,"Montréal, Quebec [24462]",278,504,36,689,0,421,1817,18709
2011,New Brunswick [13],7,212,7,98,16,150,712,6782
2011,Newfoundland and Labrador [10],1,120,8,44,1,77,209,5781
2011,Northwest Territories [61],2,115,0,1,0,23,88,12953
2011,Nova Scotia [12],17,264,35,137,0,247,528,11769
2011,Nunavut [62],2,135,4,0,0,14,25,8136
2011,Ontario [35],419,3537,396,1440,0,1446,9666,74468
2011,"Ottawa-Gatineau, Ontario part [35505]",54,122,49,70,0,54,253,6474
2011,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",60,172,52,126,0,132,507,9275
2011,"Ottawa-Gatineau, Quebec part [24505]",6,50,3,56,0,78,254,2801
2011,"Peterborough, Ontario [35529]",0,41,2,7,26,11,70,913
2011,Prince Edward Island [11],0,35,4,31,0,37,125,1369
2011,Quebec [24],332,1341,58,1520,35,1290,4665,53645
2011,"Québec, Quebec [24421]",14,164,0,221,0,174,429,5239
2011,"Regina, Saskatchewan [47705]",2,58,8,74,10,22,68,1558
2011,"Saguenay, Quebec [24408]",0,45,0,42,0,33,187,1006
2011,"Saint John, New Brunswick [13310]",6,29,0,23,28,38,173,1833
2011,Saskatchewan [47],35,474,55,263,0,252,622,33288
2011,"Saskatoon, Saskatchewan [47725]",6,64,15,35,0,24,185,1436
2011,"Sherbrooke, Quebec [24433]",4,14,2,56,0,24,122,1176
2011,"St. John's, Newfoundland and Labrador [10001]",1,12,2,21,16,18,120,800
2011,"St.Catharines-Niagara, Ontario [35539]",12,96,18,61,0,38,163,2657
2011,"Thunder Bay, Ontario [35595]",3,47,4,17,,23,169,996
2011,"Toronto, Ontario [35535]",220,1178,117,711,0,286,3602,16678
2011,"Trois-Rivières, Quebec [24442]",0,26,2,51,12,14,63,1241
2011,"Vancouver, British Columbia [59933]",95,384,253,149,1,180,920,22011
2011,"Victoria, British Columbia [59935]",8,77,25,27,148,26,231,4742
2011,"Windsor, Ontario [35559]",12,95,0,26,9,48,177,1927
2011,"Winnipeg, Manitoba [46602]",28,270,20,118,0,79,89,2160
2011,Yukon [60],2,32,0,7,0,15,16,3477
2012,"Abbotsford-Mission, British Columbia [59932]",4,36,8,13,0,16,67,1367
2012,Alberta [48],71,1107,108,231,3,516,2242,56970
2012,"Barrie, Ontario [35568]",1,57,9,51,0,24,197,1150
2012,"Belleville, Ontario [35522]",,,,,0,,,
2012,"Brantford, Ontario [35543]",4,34,6,39,0,26,144,1163
2012,British Columbia [59],147,1212,322,411,,454,2617,57908
2012,"Calgary, Alberta [48825]",26,166,25,5,0,46,449,5342
2012,Canada,968,9357,1025,4084,1,4353,22280,344042
2012,"Edmonton, Alberta [48835]",15,328,30,127,0,126,520,9133
2012,"Greater Sudbury, Ontario [35580]",0,84,9,9,6,26,164,703
2012,"Guelph, Ontario [35550]",4,39,13,20,0,27,132,800
2012,"Halifax, Nova Scotia [12205]",8,62,19,54,0,33,126,2753
2012,"Hamilton, Ontario [35537]",30,93,17,24,0,62,299,3900
2012,"Kelowna, British Columbia [59915]",7,50,4,18,0,26,78,3606
2012,"Kingston, Ontario [35521]",0,60,2,30,0,24,151,1123
2012,"Kitchener-Cambridge-Waterloo, Ontario [35541]",12,93,32,158,107,64,436,2428
2012,"Lethbridge, Alberta [48810]",,,,,6,,,
2012,"London, Ontario [35555]",26,127,14,27,6,43,257,3801
2012,Manitoba [46],30,657,65,109,0,252,322,24673
2012,"Moncton, New Brunswick [13305]",1,58,0,9,0,27,82,1024
2012,"Montréal, Quebec [24462]",206,554,23,569,0,342,1934,18018
2012,New Brunswick [13],8,256,9,85,12,124,683,6209
2012,Newfoundland and Labrador [10],4,147,9,29,0,95,203,5240
2012,Northwest Territories [61],2,83,3,2,0,35,61,12704
2012,Nova Scotia [12],14,209,27,124,0,212,628,12241
2012,Nunavut [62],1,125,2,0,0,20,60,8053
2012,Ontario [35],381,3572,385,1556,0,1265,9728,72256
2012,"Ottawa-Gatineau, Ontario part [35505]",48,155,26,147,0,33,253,5862
2012,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",55,205,27,233,0,97,536,8671
2012,"Ottawa-Gatineau, Quebec part [24505]",7,50,1,86,0,64,283,2809
2012,"Peterborough, Ontario [35529]",8,41,0,9,17,12,75,779
2012,Prince Edward Island [11],1,36,3,24,0,18,110,1404
2012,Quebec [24],270,1420,38,1335,37,1082,5079,51641
2012,"Québec, Quebec [24421]",18,118,0,128,0,85,588,3689
2012,"Regina, Saskatchewan [47705]",8,63,3,49,12,30,38,1476
2012,"Saguenay, Quebec [24408]",1,65,1,17,0,43,202,996
2012,"Saint John, New Brunswick [13310]",5,38,7,37,39,37,172,1753
2012,Saskatchewan [47],37,496,53,177,0,265,531,31384
2012,"Saskatoon, Saskatchewan [47725]",2,68,11,22,0,27,104,1145
2012,"Sherbrooke, Quebec [24433]",3,22,2,26,0,14,124,1399
2012,"St. John's, Newfoundland and Labrador [10001]",3,17,5,6,15,52,116,1484
2012,"St.Catharines-Niagara, Ontario [35539]",9,124,21,58,0,29,200,2610
2012,"Thunder Bay, Ontario [35595]",2,48,7,13,,24,151,970
2012,"Toronto, Ontario [35535]",168,1220,136,584,0,289,3422,16830
2012,"Trois-Rivières, Quebec [24442]",2,25,0,33,47,24,57,1162
2012,"Vancouver, British Columbia [59933]",90,419,235,179,3,153,854,19940
2012,"Victoria, British Columbia [59935]",8,52,11,40,186,17,218,3727
2012,"Windsor, Ontario [35559]",21,87,3,40,2,37,231,2022
2012,"Winnipeg, Manitoba [46602]",17,288,22,69,0,51,71,2078
2012,Yukon [60],2,37,1,1,0,15,16,3359
2013,"Abbotsford-Mission, British Columbia [59932]",3,30,5,6,1,7,78,1401
2013,Alberta [48],67,1169,118,217,2,440,2250,54084
2013,"Barrie, Ontario [35568]",1,43,9,3,0,23,214,1016
2013,"Belleville, Ontario [35522]",,,,,0,,,
2013,"Brantford, Ontario [35543]",3,67,10,33,0,21,116,1085
2013,British Columbia [59],102,1187,236,412,,353,2530,56638
2013,"Calgary, Alberta [48825]",24,190,23,15,1,37,486,5241
2013,Canada,738,9196,871,3723,2,3859,21546,322581
2013,"Edmonton, Alberta [48835]",13,349,42,123,0,116,556,8476
2013,"Greater Sudbury, Ontario [35580]",1,65,9,16,3,31,191,573
2013,"Guelph, Ontario [35550]",0,48,7,19,1,29,154,807
2013,"Halifax, Nova Scotia [12205]",7,64,25,75,0,26,114,2451
2013,"Hamilton, Ontario [35537]",32,100,11,45,0,50,239,3388
2013,"Kelowna, British Columbia [59915]",4,54,4,14,1,26,42,2888
2013,"Kingston, Ontario [35521]",2,62,1,34,0,20,240,1360
2013,"Kitchener-Cambridge-Waterloo, Ontario [35541]",1,92,40,150,110,52,484,2079
2013,"Lethbridge, Alberta [48810]",,,,,1,,,
2013,"London, Ontario [35555]",7,124,13,38,1,32,280,3487
2013,Manitoba [46],27,681,74,83,0,275,345,23867
2013,"Moncton, New Brunswick [13305]",1,48,0,17,0,19,105,801
2013,"Montréal, Quebec [24462]",160,573,22,489,0,378,1886,16726
2013,New Brunswick [13],10,226,5,71,9,113,595,4822
2013,Newfoundland and Labrador [10],2,142,9,32,1,83,270,5011
2013,Northwest Territories [61],4,85,4,0,0,24,76,12024
2013,Nova Scotia [12],14,232,36,137,0,164,528,10395
2013,Nunavut [62],2,144,1,0,0,25,40,6916
2013,Ontario [35],274,3392,296,1342,1,1079,9421,68645
2013,"Ottawa-Gatineau, Ontario part [35505]",27,137,33,98,0,50,420,4980
2013,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",33,171,38,142,0,119,674,7528
2013,"Ottawa-Gatineau, Quebec part [24505]",6,34,5,44,0,69,254,2548
2013,"Peterborough, Ontario [35529]",7,45,1,15,1,15,62,899
2013,Prince Edward Island [11],0,34,1,13,0,14,71,969
2013,Quebec [24],211,1407,50,1254,40,1072,4831,49011
2013,"Québec, Quebec [24421]",11,162,0,111,0,81,517,3303
2013,"Regina, Saskatchewan [47705]",4,40,3,69,45,24,41,1254
2013,"Saguenay, Quebec [24408]",0,36,0,19,0,22,202,925
2013,"Saint John, New Brunswick [13310]",5,29,2,30,62,27,170,1385
2013,Saskatchewan [47],24,464,41,160,0,208,544,25972
2013,"Saskatoon, Saskatchewan [47725]",7,59,15,25,0,21,99,950
2013,"Sherbrooke, Quebec [24433]",6,29,4,72,0,20,119,1157
2013,"St. John's, Newfoundland and Labrador [10001]",2,10,8,9,13,40,158,1473
2013,"St.Catharines-Niagara, Ontario [35539]",3,85,12,52,0,30,163,2083
2013,"Thunder Bay, Ontario [35595]",1,44,3,15,,23,189,895
2013,"Toronto, Ontario [35535]",137,1190,66,488,0,233,3227,17137
2013,"Trois-Rivières, Quebec [24442]",1,26,2,52,35,20,86,954
2013,"Vancouver, British Columbia [59933]",53,398,172,144,1,123,945,20925
2013,"Victoria, British Columbia [59935]",16,65,10,74,142,15,194,3400
2013,"Windsor, Ontario [35559]",16,55,3,28,5,27,263,1917
2013,"Winnipeg, Manitoba [46602]",12,307,32,52,0,47,109,1835
2013,Yukon [60],1,33,0,2,0,9,45,4227
2014,"Abbotsford-Mission, British Columbia [59932]",9,54,8,18,1,11,74,1332
