Year,GEO,RATE_Robbery [1610]#Cleared otherwise#Number#units #35100177_StatsCanada,"RATE_Sexual assault, level 1 [1330]#Cleared by charge#Number#units #35100177_StatsCanada","RATE_Possession of weapons [3375]#Total, youth not charged#Number#units #35100177_StatsCanada","RATE_Theft $5,000 or under from a motor vehicle [2142]#Cleared by charge#Number#units #35100177_StatsCanada","RATE_Other Controlled Drugs and Substances Act, importation and exportation [4330]#Cleared otherwise#Number#units #35100177_StatsCanada","RATE_Uttering threats [1627]#Total, youth not charged#Number#units #35100177_StatsCanada",RATE_Criminal harassment [1625]#Actual incidents#Number#units #35100177_StatsCanada,"RATE_Total, all Criminal Code violations (including traffic) [25]#Cleared otherwise#Number#units #35100177_StatsCanada"
2000,"Abbotsford-Mission, British Columbia [59932]",,,,,0,,,
2000,Alberta [48],66,1049,59,805,,673,1808,39561
2000,British Columbia [59],111,1691,128,1192,0,1363,3721,57667
2000,"Calgary, Alberta [48825]",34,195,28,255,1,91,242,6739
2000,Canada,1400,10820,464,6708,1,4848,20044,321287
2000,"Edmonton, Alberta [48835]",10,291,7,180,6,116,297,5990
2000,"Greater Sudbury, Ontario [35580]",0,49,2,16,0,21,92,794
2000,"Halifax, Nova Scotia [12205]",18,65,9,60,0,57,155,2457
2000,"Hamilton, Ontario [35537]",59,169,25,62,,139,337,8699
2000,"Kingston, Ontario [35521]",,,,,0,,,
2000,"Kitchener-Cambridge-Waterloo, Ontario [35541]",7,144,32,33,0,64,57,2250
2000,"London, Ontario [35555]",14,132,7,69,125,40,125,4461
2000,Manitoba [46],26,667,14,146,8,182,961,12814
2000,"Montréal, Quebec [24462]",604,458,12,825,8,425,2088,27652
2000,New Brunswick [13],1,296,1,105,0,149,774,5753
2000,Newfoundland and Labrador [10],3,306,1,42,0,81,389,3408
2000,Northwest Territories [61],1,83,1,7,16,20,98,4790
2000,Nova Scotia [12],18,305,11,192,0,228,881,10915
2000,Nunavut [62],1,120,0,1,1,12,67,1784
2000,Ontario [35],458,4239,199,2086,0,982,6091,108790
2000,"Ottawa-Gatineau, Ontario part [35505]",72,118,10,43,0,52,244,3898
2000,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",87,190,12,156,3,113,515,5797
2000,"Ottawa-Gatineau, Quebec part [24505]",15,72,2,113,1,61,271,1899
2000,Prince Edward Island [11],1,37,0,48,0,24,133,1114
2000,Quebec [24],685,1332,23,1702,0,772,3842,53078
2000,"Québec, Quebec [24421]",35,109,1,170,30,44,258,4366
2000,"Regina, Saskatchewan [47705]",4,113,3,113,0,20,45,1231
2000,"Saguenay, Quebec [24408]",1,37,0,21,29,18,138,1421
2000,"Saint John, New Brunswick [13310]",1,49,0,21,0,22,137,1093
2000,Saskatchewan [47],28,657,24,374,34,333,1172,19766
2000,"Saskatoon, Saskatchewan [47725]",16,68,10,76,0,17,202,1857
2000,"Sherbrooke, Quebec [24433]",1,19,1,20,54,10,70,733
2000,"St. John's, Newfoundland and Labrador [10001]",1,48,0,12,0,0,75,455
2000,"St.Catharines-Niagara, Ontario [35539]",15,124,26,60,,56,146,4333
2000,"Thunder Bay, Ontario [35595]",2,54,1,16,,23,164,1291
2000,"Toronto, Ontario [35535]",237,1422,71,821,1,189,2069,32016
2000,"Trois-Rivières, Quebec [24442]",1,30,0,50,41,6,59,975
2000,"Vancouver, British Columbia [59933]",58,538,81,720,0,404,1487,16972
2000,"Victoria, British Columbia [59935]",21,94,10,62,252,87,278,4822
2000,"Windsor, Ontario [35559]",11,80,0,59,0,34,104,2435
2000,"Winnipeg, Manitoba [46602]",20,275,2,76,,18,191,3164
2000,Yukon [60],1,38,3,8,1,29,107,1847
2001,"Abbotsford-Mission, British Columbia [59932]",5,68,2,22,0,21,124,666
2001,Alberta [48],86,1148,87,812,1,879,1751,39665
2001,British Columbia [59],96,1676,217,997,0,1237,3498,52979
2001,"Calgary, Alberta [48825]",68,217,38,228,0,82,229,6475
2001,Canada,1339,10670,646,6144,3,5065,19368,304698
2001,"Edmonton, Alberta [48835]",9,313,11,211,2,143,261,5847
2001,"Greater Sudbury, Ontario [35580]",2,66,2,23,1,27,87,861
2001,"Halifax, Nova Scotia [12205]",36,104,9,46,1,85,192,3115
2001,"Hamilton, Ontario [35537]",57,135,40,48,,166,375,9282
2001,"Kingston, Ontario [35521]",4,32,0,12,1,13,158,1792
2001,"Kitchener-Cambridge-Waterloo, Ontario [35541]",5,114,25,31,,59,79,1547
2001,"London, Ontario [35555]",16,100,14,64,187,35,145,3849
2001,Manitoba [46],47,728,17,147,21,255,888,11810
2001,"Montréal, Quebec [24462]",383,489,17,733,21,377,1863,22493
2001,New Brunswick [13],6,313,8,104,0,138,714,5914
2001,Newfoundland and Labrador [10],2,333,1,80,0,79,361,3704
2001,Northwest Territories [61],1,87,2,8,14,39,112,5260
2001,Nova Scotia [12],36,342,12,144,1,296,888,9945
2001,Nunavut [62],0,153,1,1,1,27,85,2115
