Year,GEO,RATE_Not in labour force#Persons#thousands#14100090_StatsCanada
2002,"North Coast and Nechako, British Columbia",20.2
2002,"North Shore, Nova Scotia",53.6
2002,"Northeast, British Columbia",11.1
2002,"Northeast, Ontario",175.7
2002,Northwest Territories,6.9
2002,"Northwest, Ontario",56.4
2002,Nova Scotia,279.9
2002,Nunavut,
2002,Ontario,3091.5
2002,"Ottawa, Ontario",292.8
2002,"Outaouais, Quebec",88.2
2002,"Parklands and Northern, Manitoba",22.0
2002,"Prince Albert and Northern, Saskatchewan",53.8
2002,Prince Edward Island,35.2
2002,Quebec,2083.1
2002,"Red Deer, Alberta",31.5
2002,"Regina-Moose Mountain, Saskatchewan",63.3
2002,"Saguenay-Lac-Saint-Jean, Quebec",93.1
2002,"Saint John-St. Stephen, New Brunswick",49.0
2002,Saskatchewan,245.7
2002,"Saskatoon-Biggar, Saskatchewan",71.6
2002,"South Central and North Central, Manitoba",24.0
2002,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",62.4
2002,"Southeast, Manitoba",20.7
2002,"Southern, Nova Scotia",40.9
2002,"Southwest, Manitoba",29.4
2002,"Stratford-Bruce Peninsula, Ontario",78.5
2002,"Swift Current-Moose Jaw, Saskatchewan",30.2
2002,"Thompson-Okanagan, British Columbia",155.8
2002,"Toronto, Ontario",1282.0
2002,"Vancouver Island and Coast, British Columbia",230.0
2002,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",37.6
2002,"Windsor-Sarnia, Ontario",175.0
2002,"Winnipeg, Manitoba",150.5
2002,"Wood Buffalo-Cold Lake, Alberta",14.6
2002,"Yorkton-Melville, Saskatchewan",26.7
2002,Yukon,5.2
2003,"Abitibi-Témiscamingue, Quebec",42.1
2003,Alberta,655.7
2003,"Annapolis Valley, Nova Scotia",37.8
2003,"Avalon Peninsula, Newfoundland and Labrador",76.6
2003,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",63.6
2003,"Bas-Saint-Laurent, Quebec",68.2
2003,British Columbia,1142.0
2003,"Calgary, Alberta",218.0
2003,"Campbellton-Miramichi, New Brunswick",63.6
2003,"Camrose-Drumheller, Alberta",41.0
2003,Canada,8135.8
2003,"Cape Breton, Nova Scotia",57.3
2003,"Capitale-Nationale, Quebec",188.8
2003,"Cariboo, British Columbia",39.4
2003,"Centre-du-Québec, Quebec",60.1
2003,"Chaudière-Appalaches, Quebec",100.2
2003,"Côte-Nord and Nord-du-Québec, Quebec",33.9
2003,"Edmonton, Alberta",229.5
2003,"Edmundston-Woodstock, New Brunswick",25.3
2003,"Estrie, Quebec",79.8
2003,"Fredericton-Oromocto, New Brunswick",32.7
2003,"Gaspésie-Îles-de-la-Madeleine, Quebec",36.3
2003,"Halifax, Nova Scotia",92.7
2003,"Hamilton-Niagara Peninsula, Ontario",351.8
2003,"Interlake, Manitoba",22.0
2003,"Kingston-Pembroke, Ontario",138.0
2003,"Kitchener-Waterloo-Barrie, Ontario",260.9
2003,"Kootenay, British Columbia",45.3
2003,"Lanaudière, Quebec",101.7
2003,"Laurentides, Quebec",126.2
2003,"Laval, Quebec",95.5
2003,"Lethbridge-Medicine Hat, Alberta",57.7
2003,"London, Ontario",151.6
2003,"Lower Mainland-Southwest, British Columbia",642.5
2003,Manitoba,272.7
2003,"Mauricie, Quebec",83.0
2003,"Moncton-Richibucto, New Brunswick",51.3
2003,"Montréal, Quebec",531.0
2003,"Montérégie, Quebec",325.6
2003,"Muskoka-Kawarthas, Ontario",109.8
2003,New Brunswick,222.8
2003,Newfoundland and Labrador,174.5
2003,"North Coast and Nechako, British Columbia",19.8
2003,"North Shore, Nova Scotia",51.0
2003,"Northeast, British Columbia",11.0
2003,"Northeast, Ontario",176.8
2003,Northwest Territories,7.3
2003,"Northwest, Ontario",53.3
2003,Nova Scotia,278.4
2003,Nunavut,
2003,Ontario,3069.6
2003,"Ottawa, Ontario",284.3
2003,"Outaouais, Quebec",84.1
2003,"Parklands and Northern, Manitoba",21.2
2003,"Prince Albert and Northern, Saskatchewan",51.6
2003,Prince Edward Island,35.3
2003,Quebec,2045.4
2003,"Red Deer, Alberta",30.9
2003,"Regina-Moose Mountain, Saskatchewan",63.5
2003,"Saguenay-Lac-Saint-Jean, Quebec",88.8
2003,"Saint John-St. Stephen, New Brunswick",49.8
2003,Saskatchewan,239.4
2003,"Saskatoon-Biggar, Saskatchewan",68.9
2003,"South Central and North Central, Manitoba",24.4
2003,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",62.6
2003,"Southeast, Manitoba",19.3
2003,"Southern, Nova Scotia",39.7
2003,"Southwest, Manitoba",27.6
2003,"Stratford-Bruce Peninsula, Ontario",79.9
2003,"Swift Current-Moose Jaw, Saskatchewan",27.6
2003,"Thompson-Okanagan, British Columbia",149.1
2003,"Toronto, Ontario",1283.3
2003,"Vancouver Island and Coast, British Columbia",234.9
2003,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",35.3
2003,"Windsor-Sarnia, Ontario",179.9
2003,"Winnipeg, Manitoba",158.1
2003,"Wood Buffalo-Cold Lake, Alberta",15.0
2003,"Yorkton-Melville, Saskatchewan",27.8
2003,Yukon,5.8
2004,"Abitibi-Témiscamingue, Quebec",40.9
2004,Alberta,671.5
2004,"Annapolis Valley, Nova Scotia",35.5
2004,"Avalon Peninsula, Newfoundland and Labrador",79.4
2004,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",65.2
2004,"Bas-Saint-Laurent, Quebec",62.6
2004,British Columbia,1164.1
2004,"Calgary, Alberta",223.7
2004,"Campbellton-Miramichi, New Brunswick",59.3
2004,"Camrose-Drumheller, Alberta",41.4
2004,Canada,8261.0
2004,"Cape Breton, Nova Scotia",56.8
2004,"Capitale-Nationale, Quebec",194.1
2004,"Cariboo, British Columbia",38.2
2004,"Centre-du-Québec, Quebec",60.2
2004,"Chaudière-Appalaches, Quebec",99.7
2004,"Côte-Nord and Nord-du-Québec, Quebec",30.1
2004,"Edmonton, Alberta",230.1
2004,"Edmundston-Woodstock, New Brunswick",25.2
2004,"Estrie, Quebec",85.9
2004,"Fredericton-Oromocto, New Brunswick",32.8
2004,"Gaspésie-Îles-de-la-Madeleine, Quebec",38.0
2004,"Halifax, Nova Scotia",91.1
2004,"Hamilton-Niagara Peninsula, Ontario",358.3
2004,"Interlake, Manitoba",21.8
2004,"Kingston-Pembroke, Ontario",136.8
2004,"Kitchener-Waterloo-Barrie, Ontario",269.9
2004,"Kootenay, British Columbia",47.7
2004,"Lanaudière, Quebec",105.9
2004,"Laurentides, Quebec",121.3
2004,"Laval, Quebec",97.7
2004,"Lethbridge-Medicine Hat, Alberta",57.7
2004,"London, Ontario",146.6
2004,"Lower Mainland-Southwest, British Columbia",662.8
2004,Manitoba,273.5
2004,"Mauricie, Quebec",87.3
2004,"Moncton-Richibucto, New Brunswick",51.5
2004,"Montréal, Quebec",540.7
2004,"Montérégie, Quebec",339.5
2004,"Muskoka-Kawarthas, Ontario",109.7
2004,New Brunswick,219.4
2004,Newfoundland and Labrador,174.8
2004,"North Coast and Nechako, British Columbia",21.3
2004,"North Shore, Nova Scotia",50.6
2004,"Northeast, British Columbia",13.8
2004,"Northeast, Ontario",176.0
2004,Northwest Territories,7.3
2004,"Northwest, Ontario",57.1
2004,Nova Scotia,273.6
2004,Nunavut,5.2
2004,Ontario,3130.7
2004,"Ottawa, Ontario",301.8
2004,"Outaouais, Quebec",87.2
2004,"Parklands and Northern, Manitoba",21.7
2004,"Prince Albert and Northern, Saskatchewan",51.5
2004,Prince Edward Island,35.4
2004,Quebec,2077.9
2004,"Red Deer, Alberta",35.2
2004,"Regina-Moose Mountain, Saskatchewan",63.4
2004,"Saguenay-Lac-Saint-Jean, Quebec",87.0
2004,"Saint John-St. Stephen, New Brunswick",50.5
2004,Saskatchewan,240.2
2004,"Saskatoon-Biggar, Saskatchewan",70.6
2004,"South Central and North Central, Manitoba",25.4
2004,"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",59.0
2004,"Southeast, Manitoba",20.1
2004,"Southern, Nova Scotia",39.6
2004,"Southwest, Manitoba",28.0
2004,"Stratford-Bruce Peninsula, Ontario",70.1
2004,"Swift Current-Moose Jaw, Saskatchewan",29.8
2004,"Thompson-Okanagan, British Columbia",149.4
2004,"Toronto, Ontario",1323.1
2004,"Vancouver Island and Coast, British Columbia",230.9
2004,"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",36.3
2004,"Windsor-Sarnia, Ontario",181.3
2004,"Winnipeg, Manitoba",156.5
2004,"Wood Buffalo-Cold Lake, Alberta",18.1
2004,"Yorkton-Melville, Saskatchewan",24.8
2004,Yukon,5.4
2005,"Abitibi-Témiscamingue, Quebec",43.6
2005,Alberta,712.9
2005,"Annapolis Valley, Nova Scotia",37.7
2005,"Avalon Peninsula, Newfoundland and Labrador",79.7
2005,"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",58.1
2005,"Bas-Saint-Laurent, Quebec",68.0
2005,British Columbia,1173.7
2005,"Calgary, Alberta",247.0
2005,"Campbellton-Miramichi, New Brunswick",58.9
2005,"Camrose-Drumheller, Alberta",42.6
2005,Canada,8462.5
2005,"Cape Breton, Nova Scotia",53.3
2005,"Capitale-Nationale, Quebec",184.4
2005,"Cariboo, British Columbia",39.9
2005,"Centre-du-Québec, Quebec",58.4
2005,"Chaudière-Appalaches, Quebec",102.0
2005,"Côte-Nord and Nord-du-Québec, Quebec",32.2
2005,"Edmonton, Alberta",256.7
2005,"Edmundston-Woodstock, New Brunswick",25.3
2005,"Estrie, Quebec",87.9
2005,"Fredericton-Oromocto, New Brunswick",33.3
2005,"Gaspésie-Îles-de-la-Madeleine, Quebec",39.0
2005,"Halifax, Nova Scotia",94.7
2005,"Hamilton-Niagara Peninsula, Ontario",373.6
2005,"Interlake, Manitoba",21.5
2005,"Kingston-Pembroke, Ontario",138.3
