Year,GEO,RATE_Housing starts#Apartment and other unit types#Units#units #34100134_StatsCanada
1967,"Hamilton, Ontario",2718
1967,"Kingston, Ontario",64
1967,"Kitchener-Cambridge-Waterloo, Ontario",1551
1967,"London, Ontario",1355
1967,"Moncton, New Brunswick",154
1967,"Montréal excluding Saint-Jérôme, Quebec",18059
1967,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",789
1967,"Ottawa-Gatineau, Ontario/Quebec",814
1967,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",25
1967,"Peterborough, Ontario",145
1967,"Québec, Quebec",1218
1967,"Regina, Saskatchewan",527
1967,"Saint John, New Brunswick",68
1967,"Saskatoon, Saskatchewan",1009
1967,"St. John's, Newfoundland and Labrador",446
1967,"Toronto, Ontario",21212
1967,"Vancouver, British Columbia",7360
1967,"Victoria, British Columbia",575
1967,"Windsor, Ontario",480
1967,"Winnipeg, Manitoba",1423
1968,"Brantford, Ontario",196
1968,"Calgary, Alberta",4368
1968,Census metropolitan areas,91911
1968,"Edmonton, Alberta",5730
1968,"Greater Sudbury, Ontario",32
1968,"Guelph, Ontario",285
1968,"Halifax, Nova Scotia",864
1968,"Hamilton, Ontario",2389
1968,"Kingston, Ontario",200
1968,"Kitchener-Cambridge-Waterloo, Ontario",1762
1968,"London, Ontario",1685
1968,"Moncton, New Brunswick",540
1968,"Montréal excluding Saint-Jérôme, Quebec",24850
1968,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1438
1968,"Ottawa-Gatineau, Ontario/Quebec",1904
1968,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",466
1968,"Peterborough, Ontario",169
1968,"Québec, Quebec",3430
1968,"Regina, Saskatchewan",884
1968,"Saint John, New Brunswick",175
1968,"Saskatoon, Saskatchewan",1027
1968,"St. John's, Newfoundland and Labrador",159
1968,"Toronto, Ontario",28195
1968,"Vancouver, British Columbia",9721
1968,"Victoria, British Columbia",1366
1968,"Windsor, Ontario",464
1968,"Winnipeg, Manitoba",2906
1969,"Brantford, Ontario",171
1969,"Calgary, Alberta",5264
1969,Census metropolitan areas,93868
1969,"Edmonton, Alberta",6699
1969,"Greater Sudbury, Ontario",325
1969,"Guelph, Ontario",681
1969,"Halifax, Nova Scotia",2582
1969,"Hamilton, Ontario",2884
1969,"Kingston, Ontario",991
1969,"Kitchener-Cambridge-Waterloo, Ontario",1752
1969,"London, Ontario",2307
1969,"Moncton, New Brunswick",366
1969,"Montréal excluding Saint-Jérôme, Quebec",19098
1969,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2055
1969,"Ottawa-Gatineau, Ontario/Quebec",3017
1969,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",962
1969,"Peterborough, Ontario",131
1969,"Québec, Quebec",4538
1969,"Regina, Saskatchewan",791
1969,"Saint John, New Brunswick",111
1969,"Saskatoon, Saskatchewan",1125
1969,"St. John's, Newfoundland and Labrador",6
1969,"Toronto, Ontario",21719
1969,"Vancouver, British Columbia",11945
1969,"Victoria, British Columbia",2231
1969,"Windsor, Ontario",1294
1969,"Winnipeg, Manitoba",6180
1970,"Brantford, Ontario",395
1970,"Calgary, Alberta",2624
1970,Census metropolitan areas,76219
1970,"Edmonton, Alberta",2879
1970,"Greater Sudbury, Ontario",617
1970,"Guelph, Ontario",572
1970,"Halifax, Nova Scotia",1770
1970,"Hamilton, Ontario",2646
1970,"Kingston, Ontario",262
1970,"Kitchener-Cambridge-Waterloo, Ontario",1460
1970,"London, Ontario",1246
1970,"Moncton, New Brunswick",65
1970,"Montréal excluding Saint-Jérôme, Quebec",14826
1970,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",5561
1970,"Ottawa-Gatineau, Ontario/Quebec",7117
1970,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1556
1970,"Peterborough, Ontario",278
1970,"Québec, Quebec",3791
1970,"Regina, Saskatchewan",9
1970,"Saint John, New Brunswick",138
1970,"Saskatoon, Saskatchewan",0
1970,"St. John's, Newfoundland and Labrador",70
1970,"Toronto, Ontario",23504
1970,"Vancouver, British Columbia",7766
1970,"Victoria, British Columbia",1659
1970,"Windsor, Ontario",756
1970,"Winnipeg, Manitoba",3341
1971,"Brantford, Ontario",314
1971,"Calgary, Alberta",3494
1971,Census metropolitan areas,85240
1971,"Edmonton, Alberta",6524
1971,"Greater Sudbury, Ontario",2025
1971,"Guelph, Ontario",781
1971,"Halifax, Nova Scotia",1586
1971,"Hamilton, Ontario",2243
1971,"Kingston, Ontario",569
1971,"Kitchener-Cambridge-Waterloo, Ontario",1474
1971,"London, Ontario",2955
1971,"Moncton, New Brunswick",366
1971,"Montréal excluding Saint-Jérôme, Quebec",14971
1971,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",5446
1971,"Ottawa-Gatineau, Ontario/Quebec",6786
1971,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1340
1971,"Peterborough, Ontario",166
1971,"Québec, Quebec",5104
1971,"Regina, Saskatchewan",367
1971,"Saint John, New Brunswick",544
1971,"Saskatoon, Saskatchewan",0
1971,"St. John's, Newfoundland and Labrador",236
1971,"Toronto, Ontario",21190
1971,"Vancouver, British Columbia",8822
1971,"Victoria, British Columbia",1955
1971,"Windsor, Ontario",729
1971,"Winnipeg, Manitoba",4235
1972,"Brantford, Ontario",85
1972,"Calgary, Alberta",2069
1972,Census metropolitan areas,86534
1972,"Edmonton, Alberta",3663
1972,"Greater Sudbury, Ontario",862
1972,"Guelph, Ontario",40
1972,"Halifax, Nova Scotia",1030
1972,"Hamilton, Ontario",4108
1972,"Kingston, Ontario",575
1972,"Kitchener-Cambridge-Waterloo, Ontario",2781
1972,"London, Ontario",2756
1972,"Moncton, New Brunswick",493
1972,"Montréal excluding Saint-Jérôme, Quebec",12941
1972,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",7666
1972,"Ottawa-Gatineau, Ontario/Quebec",10360
1972,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2694
1972,"Peterborough, Ontario",462
1972,"Québec, Quebec",4891
1972,"Regina, Saskatchewan",212
1972,"Saguenay, Quebec",510
1972,"Saint John, New Brunswick",888
1972,"Saskatoon, Saskatchewan",83
1972,"St. Catharines-Niagara, Ontario",1895
1972,"St. John's, Newfoundland and Labrador",228
1972,"Thunder Bay, Ontario",500
1972,"Toronto, Ontario",20573
1972,"Vancouver, British Columbia",6896
1972,"Victoria, British Columbia",2761
1972,"Windsor, Ontario",1342
1972,"Winnipeg, Manitoba",5185
1973,"Brantford, Ontario",859
1973,"Calgary, Alberta",1723
1973,Census metropolitan areas,83476
1973,"Edmonton, Alberta",1713
1973,"Greater Sudbury, Ontario",295
1973,"Guelph, Ontario",175
1973,"Halifax, Nova Scotia",2494
1973,"Hamilton, Ontario",4498
1973,"Kingston, Ontario",727
1973,"Kitchener-Cambridge-Waterloo, Ontario",2438
1973,"London, Ontario",1545
1973,"Moncton, New Brunswick",671
1973,"Montréal excluding Saint-Jérôme, Quebec",19520
1973,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",8258
1973,"Ottawa-Gatineau, Ontario/Quebec",9466
1973,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1208
1973,"Peterborough, Ontario",92
1973,"Québec, Quebec",2010
1973,"Regina, Saskatchewan",315
1973,"Saguenay, Quebec",463
1973,"Saint John, New Brunswick",265
1973,"Saskatoon, Saskatchewan",269
1973,"St. Catharines-Niagara, Ontario",956
1973,"St. John's, Newfoundland and Labrador",244
1973,"Thunder Bay, Ontario",671
1973,"Toronto, Ontario",19874
1973,"Vancouver, British Columbia",7281
1973,"Victoria, British Columbia",2421
1973,"Windsor, Ontario",739
1973,"Winnipeg, Manitoba",4276
1974,"Brantford, Ontario",190
1974,"Calgary, Alberta",656
1974,Census metropolitan areas,56643
1974,"Edmonton, Alberta",675
1974,"Greater Sudbury, Ontario",47
1974,"Guelph, Ontario",835
1974,"Halifax, Nova Scotia",1529
1974,"Hamilton, Ontario",2705
1974,"Kingston, Ontario",97
1974,"Kitchener-Cambridge-Waterloo, Ontario",1559
1974,"London, Ontario",1192
1974,"Moncton, New Brunswick",683
1974,"Montréal excluding Saint-Jérôme, Quebec",11694
1974,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",5005
1974,"Ottawa-Gatineau, Ontario/Quebec",5741
1974,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",736
1974,"Peterborough, Ontario",420
1974,"Québec, Quebec",686
1974,"Regina, Saskatchewan",575
1974,"Saguenay, Quebec",478
1974,"Saint John, New Brunswick",386
1974,"Saskatoon, Saskatchewan",42
1974,"St. Catharines-Niagara, Ontario",644
1974,"St. John's, Newfoundland and Labrador",127
1974,"Thunder Bay, Ontario",135
1974,"Toronto, Ontario",16847
1974,"Vancouver, British Columbia",6349
1974,"Victoria, British Columbia",1247
1974,"Windsor, Ontario",1210
1974,"Winnipeg, Manitoba",2119
1975,"Brantford, Ontario",991
1975,"Calgary, Alberta",1225
1975,Census metropolitan areas,49986
1975,"Edmonton, Alberta",1410
1975,"Greater Sudbury, Ontario",145
1975,"Guelph, Ontario",180
1975,"Halifax, Nova Scotia",1172
1975,"Hamilton, Ontario",2688
1975,"Kingston, Ontario",199
1975,"Kitchener-Cambridge-Waterloo, Ontario",649
1975,"London, Ontario",1124
1975,"Moncton, New Brunswick",162
1975,"Montréal excluding Saint-Jérôme, Quebec",12896
1975,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1228
1975,"Ottawa-Gatineau, Ontario/Quebec",2766
1975,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1538
1975,"Peterborough, Ontario",654
1975,"Québec, Quebec",1421
1975,"Regina, Saskatchewan",575
1975,"Saguenay, Quebec",275
1975,"Saint John, New Brunswick",1133
1975,"Saskatoon, Saskatchewan",954
1975,"St. Catharines-Niagara, Ontario",254
1975,"St. John's, Newfoundland and Labrador",440
1975,"Thunder Bay, Ontario",335
1975,"Toronto, Ontario",10777
1975,"Vancouver, British Columbia",4869
1975,"Victoria, British Columbia",2073
1975,"Windsor, Ontario",666
1975,"Winnipeg, Manitoba",2139
1976,"Brantford, Ontario",331
1976,"Calgary, Alberta",2914
1976,Census metropolitan areas,64521
1976,"Edmonton, Alberta",3656
1976,"Greater Sudbury, Ontario",156
1976,"Guelph, Ontario",509
1976,"Halifax, Nova Scotia",1765
1976,"Hamilton, Ontario",2039
1976,"Kingston, Ontario",547
1976,"Kitchener-Cambridge-Waterloo, Ontario",836
1976,"London, Ontario",721
1976,"Moncton, New Brunswick",46
1976,"Montréal excluding Saint-Jérôme, Quebec",22477
1976,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",673
1976,"Ottawa-Gatineau, Ontario/Quebec",1166
1976,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",493
1976,"Peterborough, Ontario",448
1976,"Québec, Quebec",1858
1976,"Regina, Saskatchewan",958
1976,"Saguenay, Quebec",154
1976,"Saint John, New Brunswick",791
1976,"Saskatoon, Saskatchewan",1130
1976,"St. Catharines-Niagara, Ontario",1128
1976,"St. John's, Newfoundland and Labrador",350
1976,"Thunder Bay, Ontario",552
1976,"Toronto, Ontario",9672
1976,"Vancouver, British Columbia",6114
1976,"Victoria, British Columbia",2868
1976,"Windsor, Ontario",842
1976,"Winnipeg, Manitoba",2374
1977,"Brantford, Ontario",118
1977,"Calgary, Alberta",5047
1977,Census metropolitan areas,69514
1977,"Edmonton, Alberta",5239
1977,"Greater Sudbury, Ontario",145
1977,"Guelph, Ontario",705
1977,"Halifax, Nova Scotia",2652
1977,"Hamilton, Ontario",713
1977,"Kelowna, British Columbia",332
1977,"Kingston, Ontario",422
1977,"Kitchener-Cambridge-Waterloo, Ontario",1140
1977,"London, Ontario",1646
1977,"Moncton, New Brunswick",22
1977,"Montréal excluding Saint-Jérôme, Quebec",16355
1977,"Oshawa, Ontario",688
1977,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2162
1977,"Ottawa-Gatineau, Ontario/Quebec",2280
1977,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",118
1977,"Peterborough, Ontario",336
1977,"Québec, Quebec",3023
1977,"Regina, Saskatchewan",1435
1977,"Saguenay, Quebec",282
1977,"Saint John, New Brunswick",60
1977,"Saskatoon, Saskatchewan",2465
1977,"St. Catharines-Niagara, Ontario",428
1977,"St. John's, Newfoundland and Labrador",536
1977,"Thunder Bay, Ontario",553
1977,"Toronto, Ontario",12279
1977,"Vancouver, British Columbia",7082
1977,"Victoria, British Columbia",2160
1977,"Windsor, Ontario",860
1977,"Winnipeg, Manitoba",2446
1978,"Brantford, Ontario",265
1978,"Calgary, Alberta",5298
1978,Census metropolitan areas,56741
1978,"Edmonton, Alberta",6981
1978,"Greater Sudbury, Ontario",128
