Year,GEO,RATE_Housing starts#Apartment and other unit types#Units#units #34100134_StatsCanada
1985,"Kitchener-Cambridge-Waterloo, Ontario",346
1985,"London, Ontario",691
1985,"Moncton, New Brunswick",387
1985,"Montréal excluding Saint-Jérôme, Quebec",11771
1985,"Oshawa, Ontario",313
1985,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2299
1985,"Ottawa-Gatineau, Ontario/Quebec",3930
1985,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1631
1985,"Peterborough, Ontario",118
1985,"Québec, Quebec",3599
1985,"Regina, Saskatchewan",291
1985,"Saguenay, Quebec",707
1985,"Saint John, New Brunswick",106
1985,"Saskatoon, Saskatchewan",824
1985,"St. Catharines-Niagara, Ontario",429
1985,"St. John's, Newfoundland and Labrador",121
1985,"Thunder Bay, Ontario",204
1985,"Toronto, Ontario",7131
1985,"Trois-Rivières, Quebec",905
1985,"Vancouver, British Columbia",3524
1985,"Victoria, British Columbia",137
1985,"Windsor, Ontario",144
1985,"Winnipeg, Manitoba",1989
1986,"Barrie, Ontario",156
1986,"Brantford, Ontario",33
1986,"Calgary, Alberta",325
1986,Census metropolitan areas,46030
1986,"Edmonton, Alberta",11
1986,"Greater Sudbury, Ontario",303
1986,"Guelph, Ontario",111
1986,"Halifax, Nova Scotia",1331
1986,"Hamilton, Ontario",521
1986,"Kelowna, British Columbia",229
1986,"Kingston, Ontario",208
1986,"Kitchener-Cambridge-Waterloo, Ontario",889
1986,"London, Ontario",1209
1986,"Moncton, New Brunswick",196
1986,"Montréal excluding Saint-Jérôme, Quebec",15606
1986,"Oshawa, Ontario",271
1986,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2217
1986,"Ottawa-Gatineau, Ontario/Quebec",3544
1986,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1327
1986,"Peterborough, Ontario",301
1986,"Québec, Quebec",4414
1986,"Regina, Saskatchewan",370
1986,"Saguenay, Quebec",689
1986,"Saint John, New Brunswick",121
1986,"Saskatoon, Saskatchewan",521
1986,"St. Catharines-Niagara, Ontario",565
1986,"St. John's, Newfoundland and Labrador",150
1986,"Thunder Bay, Ontario",265
1986,"Toronto, Ontario",7387
1986,"Trois-Rivières, Quebec",1215
1986,"Vancouver, British Columbia",3978
1986,"Victoria, British Columbia",128
1986,"Windsor, Ontario",166
1986,"Winnipeg, Manitoba",2051
1987,"Abbotsford-Mission, British Columbia",807
1987,"Barrie, Ontario",254
1987,"Brantford, Ontario",203
1987,"Calgary, Alberta",88
1987,Census metropolitan areas,64503
1987,"Edmonton, Alberta",76
1987,"Greater Sudbury, Ontario",425
1987,"Guelph, Ontario",56
1987,"Halifax, Nova Scotia",1215
1987,"Hamilton, Ontario",852
1987,"Kelowna, British Columbia",505
1987,"Kingston, Ontario",413
1987,"Kitchener-Cambridge-Waterloo, Ontario",673
1987,"London, Ontario",1978
1987,"Moncton, New Brunswick",65
1987,"Montréal excluding Saint-Jérôme, Quebec",23612
1987,"Oshawa, Ontario",788
1987,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1595
1987,"Ottawa-Gatineau, Ontario/Quebec",2287
1987,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",692
1987,"Peterborough, Ontario",322
1987,"Québec, Quebec",4124
1987,"Regina, Saskatchewan",296
1987,"Saguenay, Quebec",431
1987,"Saint John, New Brunswick",13
1987,"Saskatoon, Saskatchewan",454
1987,"Sherbrooke, Quebec",1509
1987,"St. Catharines-Niagara, Ontario",1116
1987,"St. John's, Newfoundland and Labrador",45
1987,"Thunder Bay, Ontario",351
1987,"Toronto, Ontario",15356
1987,"Trois-Rivières, Quebec",609
1987,"Vancouver, British Columbia",5936
1987,"Victoria, British Columbia",523
1987,"Windsor, Ontario",323
1987,"Winnipeg, Manitoba",2932
1988,"Abbotsford-Mission, British Columbia",606
1988,"Barrie, Ontario",405
1988,"Brantford, Ontario",40
1988,"Calgary, Alberta",15
1988,Census metropolitan areas,55059
1988,"Edmonton, Alberta",309
1988,"Greater Sudbury, Ontario",270
1988,"Guelph, Ontario",152
1988,"Halifax, Nova Scotia",676
1988,"Hamilton, Ontario",768
1988,"Kelowna, British Columbia",568
1988,"Kingston, Ontario",633
1988,"Kitchener-Cambridge-Waterloo, Ontario",2044
1988,"London, Ontario",1882
1988,"Moncton, New Brunswick",126
1988,"Montréal excluding Saint-Jérôme, Quebec",15432
1988,"Oshawa, Ontario",285
1988,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2236
1988,"Ottawa-Gatineau, Ontario/Quebec",2877
1988,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",641
1988,"Peterborough, Ontario",206
1988,"Québec, Quebec",2554
1988,"Regina, Saskatchewan",267
1988,"Saguenay, Quebec",358
1988,"Saint John, New Brunswick",46
1988,"Saskatoon, Saskatchewan",568
1988,"Sherbrooke, Quebec",811
1988,"St. Catharines-Niagara, Ontario",991
1988,"St. John's, Newfoundland and Labrador",24
1988,"Thunder Bay, Ontario",138
1988,"Toronto, Ontario",16663
1988,"Trois-Rivières, Quebec",499
1988,"Vancouver, British Columbia",5473
1988,"Victoria, British Columbia",587
1988,"Windsor, Ontario",360
1988,"Winnipeg, Manitoba",1162
1989,"Abbotsford-Mission, British Columbia",499
1989,"Barrie, Ontario",800
1989,"Brantford, Ontario",232
1989,"Calgary, Alberta",309
1989,Census metropolitan areas,50251
1989,"Edmonton, Alberta",319
1989,"Greater Sudbury, Ontario",290
1989,"Guelph, Ontario",140
1989,"Halifax, Nova Scotia",1127
1989,"Hamilton, Ontario",360
1989,"Kelowna, British Columbia",794
1989,"Kingston, Ontario",501
1989,"Kitchener-Cambridge-Waterloo, Ontario",1659
1989,"London, Ontario",1552
1989,"Moncton, New Brunswick",42
1989,"Montréal excluding Saint-Jérôme, Quebec",10112
1989,"Oshawa, Ontario",625
1989,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1015
1989,"Ottawa-Gatineau, Ontario/Quebec",1788
1989,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",773
1989,"Peterborough, Ontario",166
1989,"Québec, Quebec",2808
1989,"Regina, Saskatchewan",87
1989,"Saguenay, Quebec",385
1989,"Saint John, New Brunswick",21
1989,"Saskatoon, Saskatchewan",14
1989,"Sherbrooke, Quebec",880
1989,"St. Catharines-Niagara, Ontario",825
1989,"St. John's, Newfoundland and Labrador",267
1989,"Thunder Bay, Ontario",65
1989,"Toronto, Ontario",16200
1989,"Trois-Rivières, Quebec",531
1989,"Vancouver, British Columbia",8086
1989,"Victoria, British Columbia",1085
1989,"Windsor, Ontario",183
1989,"Winnipeg, Manitoba",673
1990,"Abbotsford-Mission, British Columbia",720
1990,"Barrie, Ontario",1137
1990,"Brantford, Ontario",77
1990,"Calgary, Alberta",471
1990,Census metropolitan areas,42289
1990,"Edmonton, Alberta",637
1990,"Greater Sudbury, Ontario",459
1990,"Guelph, Ontario",151
1990,"Halifax, Nova Scotia",1228
1990,"Hamilton, Ontario",427
1990,"Kelowna, British Columbia",652
1990,"Kingston, Ontario",432
1990,"Kitchener-Cambridge-Waterloo, Ontario",1127
1990,"London, Ontario",547
1990,"Moncton, New Brunswick",186
1990,"Montréal excluding Saint-Jérôme, Quebec",9539
1990,"Oshawa, Ontario",475
1990,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1223
1990,"Ottawa-Gatineau, Ontario/Quebec",2199
1990,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",976
1990,"Peterborough, Ontario",187
1990,"Québec, Quebec",2483
1990,"Regina, Saskatchewan",91
1990,"Saguenay, Quebec",376
1990,"Saint John, New Brunswick",39
1990,"Saskatoon, Saskatchewan",83
1990,"Sherbrooke, Quebec",618
1990,"St. Catharines-Niagara, Ontario",879
1990,"St. John's, Newfoundland and Labrador",503
1990,"Thunder Bay, Ontario",87
1990,"Toronto, Ontario",9609
1990,"Trois-Rivières, Quebec",800
1990,"Vancouver, British Columbia",8000
1990,"Victoria, British Columbia",837
1990,"Windsor, Ontario",571
1990,"Winnipeg, Manitoba",204
1991,"Abbotsford-Mission, British Columbia",499
1991,"Barrie, Ontario",169
1991,"Brantford, Ontario",148
1991,"Calgary, Alberta",172
1991,Census metropolitan areas,32253
1991,"Edmonton, Alberta",380
1991,"Greater Sudbury, Ontario",858
1991,"Guelph, Ontario",224
1991,"Halifax, Nova Scotia",1974
1991,"Hamilton, Ontario",683
1991,"Kelowna, British Columbia",619
1991,"Kingston, Ontario",348
1991,"Kitchener-Cambridge-Waterloo, Ontario",243
1991,"London, Ontario",568
1991,"Moncton, New Brunswick",100
1991,"Montréal excluding Saint-Jérôme, Quebec",5985
1991,"Oshawa, Ontario",677
1991,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1602
1991,"Ottawa-Gatineau, Ontario/Quebec",2254
1991,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",652
1991,"Peterborough, Ontario",304
1991,"Québec, Quebec",2469
1991,"Regina, Saskatchewan",20
1991,"Saguenay, Quebec",429
1991,"Saint John, New Brunswick",94
1991,"Saskatoon, Saskatchewan",50
1991,"Sherbrooke, Quebec",403
1991,"St. Catharines-Niagara, Ontario",457
1991,"St. John's, Newfoundland and Labrador",441
1991,"Thunder Bay, Ontario",289
1991,"Toronto, Ontario",6119
1991,"Trois-Rivières, Quebec",491
1991,"Vancouver, British Columbia",5919
1991,"Victoria, British Columbia",652
1991,"Windsor, Ontario",283
1991,"Winnipeg, Manitoba",343
1992,"Abbotsford-Mission, British Columbia",396
1992,"Barrie, Ontario",188
1992,"Brantford, Ontario",150
1992,"Calgary, Alberta",174
1992,Census metropolitan areas,33830
1992,"Edmonton, Alberta",872
1992,"Greater Sudbury, Ontario",454
1992,"Guelph, Ontario",139
1992,"Halifax, Nova Scotia",843
1992,"Hamilton, Ontario",491
1992,"Kelowna, British Columbia",796
1992,"Kingston, Ontario",162
1992,"Kitchener-Cambridge-Waterloo, Ontario",433
1992,"London, Ontario",245
1992,"Moncton, New Brunswick",309
1992,"Montréal excluding Saint-Jérôme, Quebec",4525
1992,"Oshawa, Ontario",642
1992,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1715
1992,"Ottawa-Gatineau, Ontario/Quebec",2331
1992,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",616
1992,"Peterborough, Ontario",6
1992,"Québec, Quebec",3269
1992,"Regina, Saskatchewan",97
1992,"Saguenay, Quebec",300
1992,"Saint John, New Brunswick",34
1992,"Saskatoon, Saskatchewan",59
1992,"Sherbrooke, Quebec",243
1992,"St. Catharines-Niagara, Ontario",350
1992,"St. John's, Newfoundland and Labrador",436
1992,"Thunder Bay, Ontario",110
1992,"Toronto, Ontario",8582
1992,"Trois-Rivières, Quebec",220
1992,"Vancouver, British Columbia",7769
1992,"Victoria, British Columbia",910
1992,"Windsor, Ontario",96
1992,"Winnipeg, Manitoba",345
1993,"Abbotsford-Mission, British Columbia",984
1993,"Barrie, Ontario",0
1993,"Brantford, Ontario",0
1993,"Calgary, Alberta",240
1993,Census metropolitan areas,30224
1993,"Edmonton, Alberta",1137
1993,"Greater Sudbury, Ontario",149
1993,"Guelph, Ontario",3
1993,"Halifax, Nova Scotia",489
1993,"Hamilton, Ontario",383
1993,"Kelowna, British Columbia",598
1993,"Kingston, Ontario",42
1993,"Kitchener-Cambridge-Waterloo, Ontario",53
1993,"London, Ontario",1020
1993,"Moncton, New Brunswick",368
1993,"Montréal excluding Saint-Jérôme, Quebec",3783
1993,"Oshawa, Ontario",95
1993,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",695
1993,"Ottawa-Gatineau, Ontario/Quebec",1282
1993,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",587
1993,"Peterborough, Ontario",73
1993,"Québec, Quebec",2067
1993,"Regina, Saskatchewan",108
1993,"Saguenay, Quebec",192
1993,"Saint John, New Brunswick",14
1993,"Saskatoon, Saskatchewan",212
1993,"Sherbrooke, Quebec",250
1993,"St. Catharines-Niagara, Ontario",110
1993,"St. John's, Newfoundland and Labrador",572
1993,"Thunder Bay, Ontario",241
1993,"Toronto, Ontario",4684
1993,"Trois-Rivières, Quebec",227
1993,"Vancouver, British Columbia",11445
1993,"Victoria, British Columbia",1119
1993,"Windsor, Ontario",70
1993,"Winnipeg, Manitoba",282
1994,"Abbotsford-Mission, British Columbia",517
1994,"Barrie, Ontario",0
1994,"Brantford, Ontario",0
1994,"Calgary, Alberta",674
1994,Census metropolitan areas,27703
1994,"Edmonton, Alberta",1070
1994,"Greater Sudbury, Ontario",101
1994,"Guelph, Ontario",114
1994,"Halifax, Nova Scotia",627
1994,"Hamilton, Ontario",298
1994,"Kelowna, British Columbia",255
1994,"Kingston, Ontario",9
1994,"Kitchener-Cambridge-Waterloo, Ontario",68
1994,"London, Ontario",313
1994,"Moncton, New Brunswick",95
1994,"Montréal excluding Saint-Jérôme, Quebec",3758
1994,"Oshawa, Ontario",98
1994,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",240
1994,"Ottawa-Gatineau, Ontario/Quebec",751
1994,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",511
1994,"Peterborough, Ontario",15
1994,"Québec, Quebec",2054
1994,"Regina, Saskatchewan",0
1994,"Saguenay, Quebec",143
1994,"Saint John, New Brunswick",12
1994,"Saskatoon, Saskatchewan",272
1994,"Sherbrooke, Quebec",335
1994,"St. Catharines-Niagara, Ontario",309
1994,"St. John's, Newfoundland and Labrador",566
1994,"Thunder Bay, Ontario",125
1994,"Toronto, Ontario",3631
1994,"Trois-Rivières, Quebec",298
1994,"Vancouver, British Columbia",10634
1994,"Victoria, British Columbia",1161
1994,"Windsor, Ontario",184
1994,"Winnipeg, Manitoba",221
1995,"Abbotsford-Mission, British Columbia",389
1995,"Barrie, Ontario",0
1995,"Brantford, Ontario",0
1995,"Calgary, Alberta",531
1995,Census metropolitan areas,21484
1995,"Edmonton, Alberta",619
1995,"Greater Sudbury, Ontario",5
1995,"Guelph, Ontario",74
1995,"Halifax, Nova Scotia",573
1995,"Hamilton, Ontario",387
1995,"Kelowna, British Columbia",167
1995,"Kingston, Ontario",0
1995,"Kitchener-Cambridge-Waterloo, Ontario",18
1995,"London, Ontario",16
1995,"Moncton, New Brunswick",238
1995,"Montréal excluding Saint-Jérôme, Quebec",2109
1995,"Oshawa, Ontario",39
1995,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",491
1995,"Ottawa-Gatineau, Ontario/Quebec",712
1995,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",221
1995,"Peterborough, Ontario",105
1995,"Québec, Quebec",1024
1995,"Regina, Saskatchewan",33
1995,"Saguenay, Quebec",34
1995,"Saint John, New Brunswick",24
1995,"Saskatoon, Saskatchewan",126
1995,"Sherbrooke, Quebec",141
1995,"St. Catharines-Niagara, Ontario",68
1995,"St. John's, Newfoundland and Labrador",351
1995,"Thunder Bay, Ontario",56
1995,"Toronto, Ontario",5227
1995,"Trois-Rivières, Quebec",208
1995,"Vancouver, British Columbia",8210
1995,"Victoria, British Columbia",632
1995,"Windsor, Ontario",134
1995,"Winnipeg, Manitoba",207
1996,"Abbotsford-Mission, British Columbia",226
1996,"Barrie, Ontario",6
1996,"Brantford, Ontario",0
1996,"Calgary, Alberta",515
1996,Census metropolitan areas,17801
1996,"Edmonton, Alberta",241
1996,"Greater Sudbury, Ontario",14
1996,"Guelph, Ontario",62
1996,"Halifax, Nova Scotia",172
1996,"Hamilton, Ontario",183
1996,"Kelowna, British Columbia",342
1996,"Kingston, Ontario",108
1996,"Kitchener-Cambridge-Waterloo, Ontario",64
1996,"London, Ontario",22
1996,"Moncton, New Brunswick",196
1996,"Montréal excluding Saint-Jérôme, Quebec",2138
1996,"Oshawa, Ontario",0
1996,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",198
1996,"Ottawa-Gatineau, Ontario/Quebec",350
1996,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",152
1996,"Peterborough, Ontario",0
1996,"Québec, Quebec",933
1996,"Regina, Saskatchewan",53
1996,"Saguenay, Quebec",12
1996,"Saint John, New Brunswick",0
1996,"Saskatoon, Saskatchewan",322
1996,"Sherbrooke, Quebec",239
1996,"St. Catharines-Niagara, Ontario",7
1996,"St. John's, Newfoundland and Labrador",343
1996,"Thunder Bay, Ontario",116
1996,"Toronto, Ontario",3178
1996,"Trois-Rivières, Quebec",80
1996,"Vancouver, British Columbia",7972
1996,"Victoria, British Columbia",334
1996,"Windsor, Ontario",331
1996,"Winnipeg, Manitoba",182
1997,"Abbotsford-Mission, British Columbia",274
1997,"Barrie, Ontario",15
1997,"Brantford, Ontario",0
1997,"Calgary, Alberta",1117
1997,Census metropolitan areas,20340
1997,"Edmonton, Alberta",714
1997,"Greater Sudbury, Ontario",21
1997,"Guelph, Ontario",28
1997,"Halifax, Nova Scotia",422
1997,"Hamilton, Ontario",274
1997,"Kelowna, British Columbia",426
1997,"Kingston, Ontario",16
1997,"Kitchener-Cambridge-Waterloo, Ontario",23
1997,"London, Ontario",46
1997,"Moncton, New Brunswick",167
1997,"Montréal excluding Saint-Jérôme, Quebec",3141
1997,"Oshawa, Ontario",52
1997,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",127
1997,"Ottawa-Gatineau, Ontario/Quebec",309
1997,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",182
1997,"Peterborough, Ontario",0
1997,"Québec, Quebec",678
1997,"Regina, Saskatchewan",40
1997,"Saguenay, Quebec",31
1997,"Saint John, New Brunswick",0
1997,"Saskatoon, Saskatchewan",133
1997,"Sherbrooke, Quebec",110
1997,"St. Catharines-Niagara, Ontario",149
1997,"St. John's, Newfoundland and Labrador",248
1997,"Thunder Bay, Ontario",60
1997,"Toronto, Ontario",3183
1997,"Trois-Rivières, Quebec",136
1997,"Vancouver, British Columbia",8739
1997,"Victoria, British Columbia",366
1997,"Windsor, Ontario",130
1997,"Winnipeg, Manitoba",218
1998,"Abbotsford-Mission, British Columbia",55
1998,"Barrie, Ontario",23
1998,"Brantford, Ontario",0
1998,"Calgary, Alberta",1958
1998,Census metropolitan areas,21509
1998,"Edmonton, Alberta",1348
1998,"Greater Sudbury, Ontario",0
1998,"Guelph, Ontario",0
1998,"Halifax, Nova Scotia",437
1998,"Hamilton, Ontario",488
1998,"Kelowna, British Columbia",0
1998,"Kingston, Ontario",0
1998,"Kitchener-Cambridge-Waterloo, Ontario",221
1998,"London, Ontario",378
1998,"Moncton, New Brunswick",112
1998,"Montréal, Quebec",2948
1998,"Oshawa, Ontario",4
1998,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",118
1998,"Ottawa-Gatineau, Ontario/Quebec",340
1998,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",222
1998,"Peterborough, Ontario",0
1998,"Québec, Quebec",522
1998,"Regina, Saskatchewan",35
1998,"Saguenay, Quebec",117
1998,"Saint John, New Brunswick",0
1998,"Saskatoon, Saskatchewan",194
1998,"Sherbrooke, Quebec",149
1998,"St. Catharines-Niagara, Ontario",0
1998,"St. John's, Newfoundland and Labrador",100
1998,"Thunder Bay, Ontario",44
1998,"Toronto, Ontario",4621
1998,"Trois-Rivières, Quebec",229
1998,"Vancouver, British Columbia",6588
1998,"Victoria, British Columbia",253
1998,"Windsor, Ontario",258
1998,"Winnipeg, Manitoba",277
1999,"Abbotsford-Mission, British Columbia",92
1999,"Barrie, Ontario",133
1999,"Brantford, Ontario",20
1999,"Calgary, Alberta",2791
1999,Census metropolitan areas,26622
1999,"Edmonton, Alberta",1866
1999,"Greater Sudbury, Ontario",68
1999,"Guelph, Ontario",0
1999,"Halifax, Nova Scotia",545
1999,"Hamilton, Ontario",951
1999,"Kelowna, British Columbia",99
1999,"Kingston, Ontario",118
1999,"Kitchener-Cambridge-Waterloo, Ontario",150
1999,"London, Ontario",181
1999,"Moncton, New Brunswick",270
1999,"Montréal, Quebec",4283
1999,"Oshawa, Ontario",0
1999,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",170
1999,"Ottawa-Gatineau, Ontario/Quebec",535
1999,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",365
1999,"Peterborough, Ontario",0
1999,"Québec, Quebec",432
1999,"Regina, Saskatchewan",149
1999,"Saguenay, Quebec",26
1999,"Saint John, New Brunswick",3
1999,"Saskatoon, Saskatchewan",384
1999,"Sherbrooke, Quebec",250
1999,"St. Catharines-Niagara, Ontario",165
1999,"St. John's, Newfoundland and Labrador",60
1999,"Thunder Bay, Ontario",36
1999,"Toronto, Ontario",8663
1999,"Trois-Rivières, Quebec",87
1999,"Vancouver, British Columbia",3776
1999,"Victoria, British Columbia",611
1999,"Windsor, Ontario",99
1999,"Winnipeg, Manitoba",511
2000,"Abbotsford-Mission, British Columbia",0
2000,"Barrie, Ontario",69
2000,"Brantford, Ontario",0
2000,"Calgary, Alberta",2980
2000,Census metropolitan areas,27842
2000,"Edmonton, Alberta",1549
2000,"Greater Sudbury, Ontario",0
2000,"Guelph, Ontario",118
2000,"Halifax, Nova Scotia",1163
2000,"Hamilton, Ontario",210
2000,"Kelowna, British Columbia",154
2000,"Kingston, Ontario",89
2000,"Kitchener-Cambridge-Waterloo, Ontario",583
2000,"London, Ontario",182
2000,"Moncton, New Brunswick",234
2000,"Montréal, Quebec",4619
2000,"Oshawa, Ontario",128
2000,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",572
2000,"Ottawa-Gatineau, Ontario/Quebec",879
2000,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",307
2000,"Peterborough, Ontario",0
2000,"Québec, Quebec",877
2000,"Regina, Saskatchewan",84
2000,"Saguenay, Quebec",73
2000,"Saint John, New Brunswick",14
2000,"Saskatoon, Saskatchewan",144
2000,"Sherbrooke, Quebec",190
2000,"St. Catharines-Niagara, Ontario",30
2000,"St. John's, Newfoundland and Labrador",61
2000,"Thunder Bay, Ontario",0
2000,"Toronto, Ontario",10114
2000,"Trois-Rivières, Quebec",45
2000,"Vancouver, British Columbia",3443
2000,"Victoria, British Columbia",193
2000,"Windsor, Ontario",215
2000,"Winnipeg, Manitoba",66
2001,"Abbotsford-Mission, British Columbia",0
2001,"Barrie, Ontario",186
2001,"Brantford, Ontario",0
2001,"Calgary, Alberta",2175
2001,Census metropolitan areas,34124
2001,"Edmonton, Alberta",2200
2001,"Greater Sudbury, Ontario",0
2001,"Guelph, Ontario",0
2001,"Halifax, Nova Scotia",936
2001,"Hamilton, Ontario",465
2001,"Kelowna, British Columbia",333
2001,"Kingston, Ontario",128
2001,"Kitchener-Cambridge-Waterloo, Ontario",778
2001,"London, Ontario",56
2001,"Moncton, New Brunswick",236
2001,"Montréal, Quebec",4837
2001,"Oshawa, Ontario",0
2001,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",675
2001,"Ottawa-Gatineau, Ontario/Quebec",1032
2001,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",357
2001,"Peterborough, Ontario",0
2001,"Québec, Quebec",816
2001,"Regina, Saskatchewan",188
2001,"Saguenay, Quebec",81
2001,"Saint John, New Brunswick",10
2001,"Saskatoon, Saskatchewan",160
2001,"Sherbrooke, Quebec",268
2001,"St. Catharines-Niagara, Ontario",26
2001,"St. John's, Newfoundland and Labrador",104
2001,"Thunder Bay, Ontario",38
2001,"Toronto, Ontario",13498
2001,"Trois-Rivières, Quebec",39
2001,"Vancouver, British Columbia",5566
2001,"Victoria, British Columbia",506
2001,"Windsor, Ontario",176
2001,"Winnipeg, Manitoba",169
2002,"Abbotsford-Mission, British Columbia",413
2002,"Barrie, Ontario",80
2002,"Brantford, Ontario",40
2002,"Calgary, Alberta",3031
2002,Census metropolitan areas,40826
2002,"Edmonton, Alberta",4126
2002,"Greater Sudbury, Ontario",4
2002,"Guelph, Ontario",0
2002,"Halifax, Nova Scotia",1135
2002,"Hamilton, Ontario",206
2002,"Kelowna, British Columbia",432
2002,"Kingston, Ontario",0
2002,"Kitchener-Cambridge-Waterloo, Ontario",485
2002,"London, Ontario",318
2002,"Moncton, New Brunswick",676
2002,"Montréal, Quebec",8491
2002,"Oshawa, Ontario",90
2002,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1701
2002,"Ottawa-Gatineau, Ontario/Quebec",2386
2002,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",685
2002,"Peterborough, Ontario",18
2002,"Québec, Quebec",1735
2002,"Regina, Saskatchewan",101
2002,"Saguenay, Quebec",322
2002,"Saint John, New Brunswick",2
2002,"Saskatoon, Saskatchewan",316
2002,"Sherbrooke, Quebec",389
2002,"St. Catharines-Niagara, Ontario",8
2002,"St. John's, Newfoundland and Labrador",199
2002,"Thunder Bay, Ontario",0
2002,"Toronto, Ontario",10288
2002,"Trois-Rivières, Quebec",305
2002,"Vancouver, British Columbia",5756
2002,"Victoria, British Columbia",225
2002,"Windsor, Ontario",235
2002,"Winnipeg, Manitoba",260
2003,"Abbotsford-Mission, British Columbia",335
2003,"Barrie, Ontario",304
2003,"Brantford, Ontario",0
2003,"Calgary, Alberta",3025
2003,Census metropolitan areas,53110
2003,"Edmonton, Alberta",4280
2003,"Greater Sudbury, Ontario",0
2003,"Guelph, Ontario",148
2003,"Halifax, Nova Scotia",1172
2003,"Hamilton, Ontario",177
2003,"Kelowna, British Columbia",718
2003,"Kingston, Ontario",268
2003,"Kitchener-Cambridge-Waterloo, Ontario",410
2003,"London, Ontario",837
2003,"Moncton, New Brunswick",447
2003,"Montréal, Quebec",12431
2003,"Oshawa, Ontario",112
2003,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",728
2003,"Ottawa-Gatineau, Ontario/Quebec",1669
2003,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",941
2003,"Peterborough, Ontario",6
2003,"Québec, Quebec",2582
2003,"Regina, Saskatchewan",196
2003,"Saguenay, Quebec",169
2003,"Saint John, New Brunswick",115
2003,"Saskatoon, Saskatchewan",311
2003,"Sherbrooke, Quebec",497
2003,"St. Catharines-Niagara, Ontario",18
2003,"St. John's, Newfoundland and Labrador",251
2003,"Thunder Bay, Ontario",0
2003,"Toronto, Ontario",15314
2003,"Trois-Rivières, Quebec",188
2003,"Vancouver, British Columbia",7158
2003,"Victoria, British Columbia",742
2003,"Windsor, Ontario",148
2003,"Winnipeg, Manitoba",705
2004,"Abbotsford-Mission, British Columbia",406
2004,"Barrie, Ontario",131
2004,"Brantford, Ontario",0
2004,"Calgary, Alberta",3915
2004,Census metropolitan areas,59513
2004,"Edmonton, Alberta",3234
2004,"Greater Sudbury, Ontario",0
2004,"Guelph, Ontario",262
2004,"Halifax, Nova Scotia",809
2004,"Hamilton, Ontario",744
2004,"Kelowna, British Columbia",563
2004,"Kingston, Ontario",117
2004,"Kitchener-Cambridge-Waterloo, Ontario",675
2004,"London, Ontario",413
2004,"Moncton, New Brunswick",99
2004,"Montréal, Quebec",16130
2004,"Oshawa, Ontario",210
2004,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1200
2004,"Ottawa-Gatineau, Ontario/Quebec",2420
2004,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1220
2004,"Peterborough, Ontario",21
2004,"Québec, Quebec",3069
2004,"Regina, Saskatchewan",276
2004,"Saguenay, Quebec",71
2004,"Saint John, New Brunswick",58
2004,"Saskatoon, Saskatchewan",387
2004,"Sherbrooke, Quebec",801
2004,"St. Catharines-Niagara, Ontario",116
2004,"St. John's, Newfoundland and Labrador",256
2004,"Thunder Bay, Ontario",31
2004,"Toronto, Ontario",13640
2004,"Trois-Rivières, Quebec",360
2004,"Vancouver, British Columbia",9508
2004,"Victoria, British Columbia",1059
2004,"Windsor, Ontario",283
2004,"Winnipeg, Manitoba",525
2005,"Abbotsford-Mission, British Columbia",493
