Year,GEO,"RATE_British Columbia, province of destination#Persons#units#17100022_StatsCanada"
1983,"Yukon, province of origin",975
1984,"Alberta, province of origin",18286
1984,"Manitoba, province of origin",3079
1984,"New Brunswick, province of origin",582
1984,"Newfoundland and Labrador, province of origin",603
1984,"Northwest Territories including Nunavut, province of origin",533
1984,"Nova Scotia, province of origin",1248
1984,"Ontario, province of origin",9456
1984,"Prince Edward Island, province of origin",139
1984,"Quebec, province of origin",2099
1984,"Saskatchewan, province of origin",3264
1984,"Yukon, province of origin",831
1985,"Alberta, province of origin",18908
1985,"Manitoba, province of origin",3489
1985,"New Brunswick, province of origin",679
1985,"Newfoundland and Labrador, province of origin",670
1985,"Northwest Territories including Nunavut, province of origin",779
1985,"Nova Scotia, province of origin",1582
1985,"Ontario, province of origin",10447
1985,"Prince Edward Island, province of origin",151
1985,"Quebec, province of origin",1961
1985,"Saskatchewan, province of origin",3940
1985,"Yukon, province of origin",1014
1986,"Alberta, province of origin",24246
1986,"Manitoba, province of origin",4333
1986,"New Brunswick, province of origin",668
1986,"Newfoundland and Labrador, province of origin",486
1986,"Northwest Territories including Nunavut, province of origin",1053
1986,"Nova Scotia, province of origin",1679
1986,"Ontario, province of origin",12315
1986,"Prince Edward Island, province of origin",150
1986,"Quebec, province of origin",2279
1986,"Saskatchewan, province of origin",4281
1986,"Yukon, province of origin",951
1987,"Alberta, province of origin",28546
1987,"Manitoba, province of origin",5579
1987,"New Brunswick, province of origin",782
1987,"Newfoundland and Labrador, province of origin",508
1987,"Northwest Territories including Nunavut, province of origin",928
1987,"Nova Scotia, province of origin",2147
1987,"Ontario, province of origin",15963
1987,"Prince Edward Island, province of origin",150
1987,"Quebec, province of origin",2744
1987,"Saskatchewan, province of origin",5759
1987,"Yukon, province of origin",1135
1988,"Alberta, province of origin",27416
1988,"Manitoba, province of origin",6187
1988,"New Brunswick, province of origin",855
1988,"Newfoundland and Labrador, province of origin",528
1988,"Northwest Territories including Nunavut, province of origin",852
1988,"Nova Scotia, province of origin",1925
1988,"Ontario, province of origin",20340
1988,"Prince Edward Island, province of origin",140
1988,"Quebec, province of origin",3125
1988,"Saskatchewan, province of origin",6920
1988,"Yukon, province of origin",1357
1989,"Alberta, province of origin",32095
1989,"Manitoba, province of origin",7460
1989,"New Brunswick, province of origin",912
1989,"Newfoundland and Labrador, province of origin",710
1989,"Northwest Territories including Nunavut, province of origin",903
1989,"Nova Scotia, province of origin",2277
1989,"Ontario, province of origin",24611
1989,"Prince Edward Island, province of origin",231
1989,"Quebec, province of origin",4097
1989,"Saskatchewan, province of origin",9042
1989,"Yukon, province of origin",1291
1990,"Alberta, province of origin",26712
1990,"Manitoba, province of origin",6499
1990,"New Brunswick, province of origin",991
1990,"Newfoundland and Labrador, province of origin",704
1990,"Northwest Territories including Nunavut, province of origin",837
1990,"Nova Scotia, province of origin",2416
1990,"Ontario, province of origin",22336
1990,"Prince Edward Island, province of origin",245
1990,"Quebec, province of origin",4110
1990,"Saskatchewan, province of origin",6484
1990,"Yukon, province of origin",1083
1991,"Alberta, province of origin",27984
1991,"Manitoba, province of origin",6852
1991,"New Brunswick, province of origin",1090
1991,"Newfoundland and Labrador, province of origin",1026
1991,"Northwest Territories, province of origin",718
1991,"Nova Scotia, province of origin",2549
1991,"Nunavut, province of origin",88
1991,"Ontario, province of origin",24470
1991,"Prince Edward Island, province of origin",250
1991,"Quebec, province of origin",5142
1991,"Saskatchewan, province of origin",6426
1991,"Yukon, province of origin",1100
